MODO;METAL;ESPECIE;DIA ;MES ;AÑO;LUGAR;MUNICIPIO ;PROVINCIA;EDAD;SEXO;ANILLADOR;Grasa;Ala;peso;tarso;pico;cola;Hora;Dias;Kms;Observaciones
A;7016118;Anas platyrhynchos;8;6;1987;Lucio del Rey PND;Aznalcazar;Sevilla;1;0;A. Herrera;;;;;;;;;;Anillamiento
C;7016118;Anas platyrhynchos;15;11;1988;Puebla del Rio;Puebla del Rio;Sevilla;5;0;M. Vazquez;;;;;;;;;;Cazada escopeta
A;7016346;Anas platyrhynchos;30;6;1987;La Gaveta PND;Aznalcazar;Sevilla;1;2;A. Herrera;;;;;;;;;;Anillamiento
C;7016346;Anas platyrhynchos;15;11;1988;Puebla del Rio;Puebla del Rio;Sevilla;5;2;M. Vazquez;;;;;;;;;;Cazada escopeta
A;7016521;Anas platyrhynchos;12;7;1987;Lucio del Bolin PND;Almonte;Huelva;3;0;F. Ibañez;;;;;;;;;;Anillamiento
C;7016521;Anas platyrhynchos;15;8;1987;Puebla del Rio;Puebla del Rio;Sevilla;3;0;FG. Vilches;;;;;;;;;;Cazada escopeta
A;7016528;Anas platyrhynchos;12;7;1987;Lucio del Bolin PND;Almonte;Huelva;3;1;F. Ibañez;;;;;;;;;;Anillamiento
C;7016528;Anas platyrhynchos;15;1;1988;Los Alamos;Isla Mayor;Sevilla;5;1;FG. Vilches;;;;;;;;;;Cazada escopeta
A;7017955;Anas platyrhynchos;20;6;1987;Caño Travieso PND;Aznalcazar;Sevilla;3;0;F. Ibañez;;;;;;;;;;Anillamiento
C;7017955;Anas platyrhynchos;15;8;1988;Los Caños;Sanlucar de Barrameda;Cadiz;5;0;FG. Vilches;;;;;;;;;;Cazada escopeta
A;7017969;Anas platyrhynchos;21;6;1987;El Burro PND;Almonte;Huelva;3;1;F. Ibañez;;;;;;;;;;Anillamiento
C;7017969;Anas platyrhynchos;18;1;1988;Cantaritas;Puebla del Rio;Sevilla;5;1;FG. Vilches;;;;;;;;121;29;Cazada escopeta
A;7018159;Anas platyrhynchos;3;9;1986;Doñana PND;Almonte;Huelva;4;2;PND;;;;;;;;;;Anillamiento
C;7018159;Anas platyrhynchos;15;12;1989;Isla Mayor;Isla Mayor;Sevilla;A;0;Cazador;;;;;;;;1197;33;Cazada escopeta solo anilla
A;7027848;Anas platyrhynchos;4;8;1988;El Puntal PND;Almonte;Huelva;3;2;PND;;;;;;;;;;Anillamiento
C;7027848;Anas platyrhynchos;25;7;1989;Lucio Las Gavetas;Puebla del Rio;Sevilla;5;2;P. Rodriguez;;;;;;;;;;Encontrado muerto
A;E23000;Anas strepera;10;7;1984;Caño Guadiamar PND;Aznalcazar;Sevilla;4;1;A. Herrera;;;;;;;;;;Anillamiento
C;E23000;Anas strepera;15;12;1989;Puebla del Rio;Puebla del Rio;Sevilla;A;0;Cazador;;;;;;;;;;Cazada escopeta solo anilla
A;M1954;Anas strepera;19;8;1971;Lucio de Marilopez PND;Aznalcazar;Sevilla;4;2;EBD;;;;;;;;;;Anillamiento
C;M1954;Anas strepera;1;1;1990;Antequera;Antequera;Malaga;A;0;Cazador;;;;;;;;6710;157;Cazada escopeta solo anilla
A;6002116;Anas strepera;24;6;1987;Caño Cardales PND;Aznalcazar;Sevilla;1;1;P. Clarita;;;;;;;;;;Anillamiento
C;6002116;Anas strepera;5;7;1987;Lucio del Cangrejo PND;Aznalcazar;Sevilla;3;1;P. Rodriguez;;;;;;;;;;Encontrado muerto
A;5006800;Maramronetta angustirostris;6;8;1987;Cañada de los Pajaros;Puebla del Rio;Sevilla;3;1;LEO BIAGGI;;;;;;;;;;Anillamiento
C;5006800;Maramronetta angustirostris;15;11;1988;Puebla del Rio;Puebla del Rio;Sevilla;5;0;Cazador;;;;;;;;;;Cazada escopeta
A;D10764;Netta rufina;19;7;1984;Caño Guadiamar PND;Aznalcazar;Sevilla;4;2;I. Fernandez;;;;;;;;;;Anillamiento
C;D10764;Netta rufina;15;12;1988;Isla Mayor;Isla Mayor;Sevilla;A;0;M. Vazquez;;;;;;;;;;Cazada escopeta
A;7009034;Netta rufina;14;7;1985;Lucio Redondo PND;Aznalcazar;Sevilla;1;0;LEO BIAGGI;;;;;;;;;;Anillamiento
C;7009034;Netta rufina;7;12;1987;Sueca;Sueca;Valencia;7;0;Cazador;;;;;;;;143;588;Cazada escopeta
A;7009036;Netta rufina;14;7;1985;Lucio del Rinconcillo PND;Almonte;Huelva;2;1;LEO BIAGGI;;;;;;;;;;Anillamiento
