MODO,METAL,ESPECIE,DIA ,MES ,AÑO,LOCALIDAD,PAIS,EDAD,SEXO,ANILLADOR,Grasa,Ala,peso,tarso,pico,cola,Hora,Dias,Kms,Observaciones
A,2220036,Charadrius hiaticula,26,9,1988,"Lucio Poco abrigo, Puebla del Rio, Sevilla",España,3,0,M. Vazquez,,,,,,,,,,Anillamiento
C,2220036,Charadrius hiaticula,27,7,1993,"Hable D´ Ault, Somme",Francia,A,0,Extranjero,,,,,,,,1765,1554,Encontrado muerto
A,M5758,Ciconia ciconia,2,6,2004,"Muizen, Antwerpen, Amberes",Belgica,1,0,Extranjero,,,,,,,,,,Anillamiento
C,M5758,Ciconia ciconia,15,8,2006,"Puerto Real, cadiz",España,7,0,M. Vazquez,,,,,,,,804,1820,Colision con tendido electrico
A,9015741,Ciconia ciconia,20,9,1994,"Cañada de los Pajaros, Puebla del Rio, Sevilla",España,3,0,M. Vazquez,,,,,,,,,,Anillamiento
C,9015741,Ciconia ciconia,20,5,2004,"Wahlwies,Sudbaden, Friburgo",Alemania,A,0,Vogelwarte Radolfzell,,,,,,,,3530,1714,Anilla leida telescopio
A,P9486,Ciconia ciconia,8,6,2004,"La Gripperie-Saint-Symphorien, Charente Maritime",Francia,1,0,Extranjero,,,,,,,,,,Anillamiento
C,P9486,Ciconia ciconia,15,1,2006,"Chiclana de la Frontera, Cadiz",España,7,0,M. Vazquez,,,,,,,,586,1136,Colision con tendido electrico
A,7300,Ciconia ciconia,16,6,2005,"Ommen, Varsen, Overijssel",Holanda,1,0,Extranjero,,,,,,,,,,Anillamiento
C,7300,Ciconia ciconia,15,1,2006,"Chiclana de la Frontera, Cadiz",España,3,0,M. Vazquez,,,,,,,,213,2047,Colision con tendido electrico
A,B694,Ciconia nigra,16,6,1997,"Ettelbruck, Luxemburgo",Belgica,1,0,Extranjero,,,,,,,,,,Anillamiento
C,B694,Ciconia nigra,20,9,1997,"Marchena, Sevilla",España,3,0,M. Vazquez,,,,,,,,101,1666,Colision con tendido electrico
A,4030553,Larus ridibundus,21,9,1990,"Puebla del Rio, Sevilla",España,4,0,M. Vazquez,,,,,,,,,,Anillamiento
C,4030553,Larus ridibundus,10,5,1994,"Craintilleux, Sury le Comtal, Loire",Francia,6,0,Extranjero,,,,,,,,1327,1252,Anilla leida telescopio
A,A01280,Miniopterus schreibersii,5,12,1987,"Loule, Algarve",Portugal,2,1,Extranjero,,,,,,,,,,Anillamiento
C,A01280,Miniopterus schreibersii,30,5,1994,"Brazo del Este, Los Palacios, Sevilla",España,2,0,M. Vazquez,,,,,,,,2366,220,Anilla en egagropila
A,WA02567,Phalacrocorax carbo,7,12,1989,"Rez Slonsk , Gorzow Wielkopolski",Polonia,2,0,Extranjero,,,,,,,,,,Anillamiento
C,WA02567,Phalacrocorax carbo,15,12,1994,"Puebla del Rio, Sevilla",España,2,0,M. Vazquez,,,,,,,,1648,2365,Cazado con escopeta
A,AZHP,Phoenicopterus ruber,9,8,1989,"Etang du Fangasier, Camargue",Francia,1,0,Extranjero,,,,,,,,,,Anillamiento
C,AZHP,Phoenicopterus ruber,5,10,1989,"Lucio Poco abrigo, Puebla del Rio, Sevilla",España,3,0,M. Vazquez,,,,,,,,,,Solo huesos y PVC
A,AHT,Phoenicopterus ruber,20,7,1977,"Etang du Fangasier, Camargue",Francia,1,0,Tour de Valat,,,,,,,,,,Anillamiento
C,AHT,Phoenicopterus ruber,15,12,1989,"Puebla del Rio, Sevilla",España,A,0,M. Vazquez,,,,,,,,,,Cazado con escopeta fecha carta
A,G20922,Platalea leucorodia,19,4,2000,"Bahia de Cadiz, Cadiz",España,1,0,EBD,,,,,,,,,,Anillamiento
C,G20922,Platalea leucorodia,13,1,2001,Kaedi,Mauritania,3,0,Particular,,,,,,,,269,2366,Capturada en red de pesca y liberada
A,8028567,Platalea leucorodia,24,5,1974,"Naar Dermeer, Noor Holland",Holanda,1,0,Extranjero,,,,,,,,,,Anillamiento
C,8028567,Platalea leucorodia,21,2,1976,"Puebla del Rio, Sevilla",España,7,0,Particular,,,,,,,,417,,Muerta por botulismo
A,F11033,Sula basana,10,6,1989,"Les Etacs, Aderney, Islasa del canal",Gran Bretaña,1,0,Extranjero,,,,,,,,,,Anillamiento
C,F11033,Sula basana,26,8,1989,"La Redondela, Lepe, Huelva",España,3,0,M. Vazquez,,,,,,,,77,1439,Encontrado en la playa y liberado
A,BJ80830,Anas platyrhynchos,25,7,1987,"Hollebley, Suffolr",Gran Bretaña,6,1,Extranjero,,,,,,,,,,Anillamiento
C,BJ80830,Anas platyrhynchos,22,10,1989,"Puebla del Rio, Sevilla",España,10,1,M. Vazquez,,,,,,,,817,1786,Cazado con escopeta
A,6004206,Anas strepera,14,7,1985,"Lucio Redondo PND, Aznalcazar, Sevilla",España,1,2,P. Rodriguez,,,,,,,,,,Anillamiento
C,6004206,Anas strepera,17,10,1986,"Baie Des Veys, Manche",Francia,5,0,Extranjero,,,,,,,,458,1429,Cazado con escopeta
A,E642,Anas strepera,24,6,1980,"Kolmenasva, Matsalu State Nature Reserva",Estonia,4,2,Extranjero,,,,,,,,,,Anillamiento
