MODO,METAL,NOMBRE_COMUN,ESPECIE,FAMILIA,ORDEN,GRUPO,DIA,MES,AÑO,LUGAR,MUNICIPIO,PROVINCIA,EDAD,SEXO,ANILLADOR,Grasa,Ala,peso,tarso,pico,cola,Hora,Dias,Kms,Observaciones,FECHA
C,9045353,Gray Heron,Ardea cinerea,"Ardeidae (Herons, Egrets, and Bitterns)",Pelecaniformes,"Herons, Ibis, and Allies",29,8,2006,Moguer,Moguer,Huelva,3,0.0,M.Vazquez,,,,,,,,98.0,50.0,muerto,08/29/2006
A,SE10612,Purple Heron,Ardea purpurea,"Ardeidae (Herons, Egrets, and Bitterns)",Pelecaniformes,"Herons, Ibis, and Allies",21,6,1968,Las Nuevas PND,Doñana,Huelva,1,0.0,M.Vazquez,,,,,,,,,,anillamiento,06/21/1968
C,SE10612,Purple Heron,Ardea purpurea,"Ardeidae (Herons, Egrets, and Bitterns)",Pelecaniformes,"Herons, Ibis, and Allies",15,12,1989,Puebla del Rio,Puebla del Rio,Sevilla,A,0.0,Particular,,,,,,,,,,muerto,12/15/1989
A,6067827,Cattle Egret,Bubulcus ibis,"Ardeidae (Herons, Egrets, and Bitterns)",Pelecaniformes,"Herons, Ibis, and Allies",2,7,1993,Casa Torres,Zorita,Caceres,1,0.0,Catedra de Vertebrados,,,,,,,,,,anillamiento,07/02/1993
C,6067827,Cattle Egret,Bubulcus ibis,"Ardeidae (Herons, Egrets, and Bitterns)",Pelecaniformes,"Herons, Ibis, and Allies",15,2,1999,Moralejo,Estepa,Sevilla,A,0.0,M.Vazquez,,,,,,,,2054.0,233.0,muerto,02/15/1999
A,F10080,Cattle Egret,Bubulcus ibis,"Ardeidae (Herons, Egrets, and Bitterns)",Pelecaniformes,"Herons, Ibis, and Allies",20,6,1974,Campanario,Campanario,Badajoz,1,0.0,Museo Ciencias,,,,,,,,,,anillamiento,06/20/1974
C,F10080,Cattle Egret,Bubulcus ibis,"Ardeidae (Herons, Egrets, and Bitterns)",Pelecaniformes,"Herons, Ibis, and Allies",1,1,1994,Aracena,Aracena,Huelva,A,0.0,Cazador,,,,,,,,7129.0,135.0,muerto,01/01/1994
A,9025091,White Stork,Ciconia ciconia,Ciconiidae (Storks),Ciconiiformes,Storks,21,7,2006,Cañada de los Pajaros,Puebla del Rio,Sevilla,3,0.0,P.Rodriguez,,,,,,,,,,anillamiento,07/21/2006
C,9025091,White Stork,Ciconia ciconia,Ciconiidae (Storks),Ciconiiformes,Storks,15,1,2007,Chliclana de la Frontera,Chliclana de la Frontera,Cadiz,5,0.0,M.Vazquez,,,,,,,,187.0,82.0,muerto,01/15/2007
A,9026345,White Stork,Ciconia ciconia,Ciconiidae (Storks),Ciconiiformes,Storks,10,6,1999,Dehesa Boyal de Pilas,Aznalcazar,Sevilla,1,0.0,M.Vazquez,,,,,,,,,,anillamiento,06/10/1999
