MODO,METAL,ESPECIE,DIA,MES,AÑO,LUGAR,MUNICIPIO,PROVINCIA,EDAD,SEXO,ANILLADOR,Dias,Kms,Observaciones,FECHA CONTROL 1,Observaciones simple
C,4021992,Falco naumanni,24,5,1992,La Lantejuela,La Lantejuela,Sevilla,A,0,Otis Tarda,NA,NA,Encontrado herido y no liberado,1992-05-24,control
A,4031765,Falco naumanni,24,4,1992,El Arahal,El Arahal,Sevilla,4,2,EBD,NA,NA,Anillamiento,1992-04-24,anillamiento
C,4031765,Falco naumanni,7,12,1993,Osuna,Osuna,Sevilla,6,2,Particular,592,40,Colision con tendido electrico,1993-12-07,muerto
A,4032193,Falco naumanni,31,7,1996,Cañada de los Pajaros,Puebla del Rio,Sevilla,3,1,CDP,NA,NA,Anillamiento,1996-07-31,anillamiento
C,4032193,Falco naumanni,5,3,2005,Cordoba,Cordoba,Cordoba,A,1,CREA,3139,153,Encontrado muerto,2005-03-05,muerto
A,4032457,Falco naumanni,25,6,1992,Mairena del Alcor,Mairena del Alcor,Sevilla,4,1,EBD,NA,NA,Anillamiento,1992-06-25,anillamiento
C,4032457,Falco naumanni,1,3,1996,La Ruana,Alcala de Guadaira,Sevilla,A,1,EBD,1331,10,Encontrado muerto,1996-03-01,muerto
A,4041086,Falco naumanni,18,7,1993,Cortijo La Verea,Ecija ,Sevilla,1,1,E. Gomez,NA,NA,Anillamiento,1993-07-18,anillamiento
C,4041086,Falco naumanni,3,4,1995,Castillo de la Luna,Alcala de Guadaira,Sevilla,7,1,M. De la Riva,NA,NA,control,1995-04-03,control
C,4041086,Falco naumanni,7,6,1996,Hacienda Soledad,Alcala de Guadaira,Sevilla,9,1,M. De la Riva,NA,NA,control,1996-06-07,control
A,4055169,Falco naumanni,1,7,1996,Carmona,Carmona,Sevilla,1,0,M. De la Riva,NA,NA,Anillamiento,1996-07-01,anillamiento
C,4055169,Falco naumanni,15,5,1998,Alcala de Guadaira,Alcala de Guadaira,Sevilla,7,0,Zamalla,684,24,Encontrado muerto,1998-05-15,muerto
A,4085046,Falco naumanni,20,6,1999,Iglesia de San Miguel,Moron de la Frontera,Sevilla,1,2,EBD,NA,NA,Anillamiento,1999-06-20,anillamiento
C,4085046,Falco naumanni,23,7,1999,El Arahal,El Arahal,Sevilla,3,2,Particular,34,18,Encontrado herido y no liberado,1999-07-23,control
A,5029067,Falco naumanni,3,8,1995,Alcañiz,Alcañiz,Teruel,3,0,JM Gonzalez,NA,NA,Anillamiento,1995-08-03,anillamiento
C,5029067,Falco naumanni,17,8,1995,Huesca,Huesca,Huesca,3,0,Zamalla,14,122,Encontrado herido y no liberado,1995-08-17,control
A,5006591,Falco tinnunculus,30,6,1990,Gerena,Gerena,Sevilla,1,0,P. Parreño,NA,NA,Anillamiento,1990-06-30,anillamiento
C,5006591,Falco tinnunculus,31,12,1990,Cañada de los Pajaros,Puebla del Rio,Sevilla,3,0,M. Vazquez,185,33,Atropellado,1990-12-31,muerto
A,5007066,Falco tinnunculus,22,6,1991,El Caracol,Carmona,Sevilla,1,0,J. Negro,NA,NA,Anillamiento,1991-06-22,anillamiento
C,5007066,Falco tinnunculus,15,6,1992,Dos Hermanas,Dos Hermanas,Sevilla,5,0,Zamalla,359,37,Encontrado muerto,1992-06-15,muerto
A,5007690,Falco tinnunculus,26,6,1994,Ecija,Ecija,Sevilla,1,0,Zamalla,NA,NA,Anillamiento,1994-06-26,anillamiento
C,5007690,Falco tinnunculus,13,1,1995,La Carlota,La Carlota,Cordoba,5,0,Particular,201,18,Atropellado,1995-01-13,muerto
A,5007904,Falco tinnunculus,7,6,1991,Porzuna,Mairena del Aljarafe,Sevilla,4,2,M. Vazquez,NA,NA,Anillamiento,1991-06-07,anillamiento
C,5007904,Falco tinnunculus,12,7,1991,Sevilla,Sevilla,Sevilla,4,2,Particular,35,9,Encontrado herido y  liberado,1991-07-12,control
A,5007905,Falco tinnunculus,7,6,1991,Porzuna,Mairena del Aljarafe,Sevilla,3,0,M. Vazquez,NA,NA,Anillamiento,1991-06-07,anillamiento
C,5007905,Falco tinnunculus,12,7,1991,Sevilla,Sevilla,Sevilla,3,0,Particular,35,9,Encontrado herido y  liberado,1991-07-12,control
A,5010415,Falco tinnunculus,27,5,1993,Osuna,Osuna,Sevilla,1,0,Zamalla,NA,NA,Anillamiento,1993-05-27,anillamiento
C,5010415,Falco tinnunculus,10,9,1993,Sevilla,Sevilla,Sevilla,3,0,Particular,106,80,Encontrado herido y  liberado,1993-09-10,control
A,5010519,Falco tinnunculus,28,5,1993,El Rubio,El Rubio,Sevilla,1,0,Zamalla,NA,NA,Anillamiento,1993-05-28,anillamiento
C,5010519,Falco tinnunculus,25,6,1993,Sevilla,Sevilla,Sevilla,3,0,AMA,NA,NA,control,1993-06-25,control
A,5012671,Falco tinnunculus,23,5,1998,Marinaleda,Marinaleda,Sevilla,1,2,Zamalla,NA,NA,Anillamiento,1998-05-23,anillamiento
C,5012671,Falco tinnunculus,8,1,2004,Castuera,Castuera,Badajoz,A,0,Ciconia,2056,165,Atropellado,2004-01-08,muerto
A,5013455,Falco tinnunculus,13,6,1996,Los Picaso,Ecija,Sevilla,1,0,Zamalla,NA,NA,Anillamiento,1996-06-13,anillamiento
C,5013455,Falco tinnunculus,15,4,1998,Ribera baja,Puente Genil,Cordoba,7,0,Particular,671,31,Encontrado herido y  liberado,1998-04-15,control
A,5067532,Falco tinnunculus,31,7,2000,Olivares,Olivares,Sevilla,3,2,SEO Sevilla,NA,NA,Anillamiento,2000-07-31,anillamiento
C,5067532,Falco tinnunculus,16,8,2000,San Juan de Aznalfarache,San Juan de Aznalfarache,Sevilla,3,2,M. Vazquez,16,13,control,2000-08-16,control
A,5080030,Falco tinnunculus,20,3,2004,Brazo del Este,Puebla del Rio,Sevilla,6,2,M. Vazquez,NA,NA,Anillamiento,2004-03-20,anillamiento
C,5080030,Falco tinnunculus,16,1,2005,Dos Hermanas,Dos Hermanas,Sevilla,2,0,CREA,302,24,"Encontrado herido y  liberado, disparo",2005-01-16,control
A,5087906,Falco tinnunculus,12,7,2004,Villaviciosa de Odon,Villaviciosa de Odon,Madrid,3,0,Halcyon,NA,NA,Anillamiento,2004-07-12,anillamiento
C,5087906,Falco tinnunculus,1,10,2005,Cantillana,Cantillana,Sevilla,5,0,M. Vazquez,446,344,control,2005-10-01,control
A,5103435,Falco tinnunculus,29,10,2006,El Cochinato PND,Almonte,Huelva,3,2,JL. Valle,NA,NA,Anillamiento,2006-10-29,anillamiento
C,5103435,Falco tinnunculus,9,1,2007,Aznalcazar,Aznalcazar,Sevilla,5,2,M. Vazquez,293,18,control,2007-01-09,control
A,5013463,Falco tinnunculus,21,11,2006,El Cochinato PND,Almonte,Huelva,5,2,JL. Valle,NA,NA,Anillamiento,2006-11-21,anillamiento
C,5013463,Falco tinnunculus,1,12,2006,Aznalcazar,Aznalcazar,Sevilla,5,2,M. Vazquez,10,18,control,2006-12-01,control
A,7021706,Porphyrio porphyrio,28,7,1988,Caño Travieso PND,Aznalcazar,Sevilla,1,0,A. Herrera,NA,NA,Anillamiento,1988-07-28,anillamiento
C,7021706,Porphyrio porphyrio,15,12,1988,Isla Mayor,Isla Mayor,Sevilla,3,0,LEO BIAGGI,NA,NA,Cazada escopeta,1988-12-15,muerto
A,7022054,Porphyrio porphyrio,21,7,1988,Caño Travieso PND,Aznalcazar,Sevilla,1,0,A. Herrera,NA,NA,Anillamiento,1988-07-21,anillamiento
C,7022054,Porphyrio porphyrio,10,11,1988,Veta La Palma,Puebla del Rio,Sevilla,3,0,LEO BIAGGI,NA,NA,Cazada escopeta,1988-11-10,muerto
A,7040792,Porphyrio porphyrio,29,8,1991,Laguna de Medina,Jerez de la Frontera,Cadiz,3,0,LEO BIAGGI,NA,NA,Anillamiento,1991-08-29,anillamiento
C,7040792,Porphyrio porphyrio,1,9,1991,Los Barrios,Los Barrios,Cadiz,3,0,Particular,2,79,Atropellado,1991-09-01,muerto
A,5001340,Gallinula chloropus,29,6,1987,PN Doñana,Almonte,Huelva,3,0,PND,NA,NA,Anillamiento,1987-06-29,anillamiento
C,5001340,Gallinula chloropus,15,12,1989,Isla Mayor,Isla Mayor,Sevilla,7,0,LEO BIAGGI,896,33,Cazada escopeta,1989-12-15,muerto
A,B00511,Fulica atra,20,6,1984,Aznalcazar,Aznalcazar,Sevilla,1,0,EBD,NA,NA,Anillamiento,1984-06-20,anillamiento
C,B00511,Fulica atra,15,1,1987,Salinas de Bonanza,Sanlucar de Barrameda,Cadiz,9,0,LEO BIAGGI,NA,NA,Cazada escopeta,1987-01-15,muerto
A,B09846,Fulica atra,25,6,1985,Las Nuevas PND,Aznalcazar,Sevilla,1,0,PND,NA,NA,Anillamiento,1985-06-25,anillamiento
C,B09846,Fulica atra,28,2,1987,Isla Mayor,Isla Mayor,Sevilla,7,0,LEO BIAGGI,613,90,Cazada escopeta,1987-02-28,muerto
A,DE11287,Fulica atra,27,5,1973,El Desierto PND,Hinojos,Huelva,1,0,M. Espinar,NA,NA,Anillamiento,1973-05-27,anillamiento
C,DE11287,Fulica atra,15,12,1989,Puebla del Rio,Puebla del Rio,Sevilla,A,0,LEO BIAGGI,NA,NA,Cazada escopeta solo anilla,1989-12-15,muerto
A,DE26518,Fulica atra,15,5,1984,Caño Travieso PND,Aznalcazar,Sevilla,4,0,A. Herrera,NA,NA,Anillamiento,1984-05-15,anillamiento
C,DE26518,Fulica atra,15,10,1986,Salinas de Bonanza,Sanlucar de Barrameda,Cadiz,4,0,LEO BIAGGI,NA,NA,Cazada escopeta,1986-10-15,muerto
A,SE17585,Fulica atra,2,6,1970,Lucio de Marilopez PND,Aznalcazar,Sevilla,1,0,EBD,NA,NA,Anillamiento,1970-06-02,anillamiento
C,SE17585,Fulica atra,1,1,1980,Antequera,Antequera,Malaga,A,0,M. Vazquez,3500,153,Cazada escopeta solo anilla,1980-01-01,muerto
A,7003177,Fulica atra,23,7,1985,Caño Cardales PND,Hinojos,Huelva,4,1,P. Clarita,NA,NA,Anillamiento,1985-07-23,anillamiento
C,7003177,Fulica atra,16,10,1986,Salinas de Bonanza,Sanlucar de Barrameda,Cadiz,6,0,LEO BIAGGI,NA,NA,Cazada escopeta,1986-10-16,muerto
A,7006854,Fulica atra,2,8,1986,Isla Mayor,Isla Mayor,Sevilla,3,0,LEO BIAGGI,NA,NA,Anillamiento,1986-08-02,anillamiento
C,7006854,Fulica atra,7,8,1988,Lucio de Cangrejo Chico,Aznalcazar,Sevilla,2,0,PND,NA,NA,Encontrado muerto,1988-08-07,muerto
A,7006879,Fulica atra,15,10,1986,Lucio del Bolin PND,Almonte,Huelva,4,0,LEO BIAGGI,NA,NA,Anillamiento,1986-10-15,anillamiento
C,7006879,Fulica atra,20,11,1986,Lucio de Cangrejo ,Aznalcazar,Sevilla,4,0,PND,NA,NA,Encontrado muerto,1986-11-20,muerto
A,7006937,Fulica atra,2,11,1989,Cañada de los Pajaros,Puebla del Rio,Sevilla,3,0,LEO BIAGGI,NA,NA,Anillamiento,1989-11-02,anillamiento
C,7006937,Fulica atra,1,8,1994,San Roque,San Roque,Huelva,2,0,PND,1733,131,Cazada escopeta,1994-08-01,muerto
A,7007366,Fulica atra,15,6,1986,PN Doñana,Almonte,Huelva,1,0,PND,NA,NA,Anillamiento,1986-06-15,anillamiento
C,7007366,Fulica atra,15,9,1988,Puebla del Rio,Puebla del Rio,Sevilla,2,0,LEO BIAGGI,890,49,Cazada escopeta,1988-09-15,muerto
A,7007585,Fulica atra,15,6,1986,Las Nuevas PND,Aznalcazar,Sevilla,1,0,PND,NA,NA,Anillamiento,1986-06-15,anillamiento
C,7007585,Fulica atra,15,10,1986,Salinas de Bonanza,Sanlucar de Barrameda,Cadiz,3,0,LEO BIAGGI,NA,NA,Cazada escopeta,1986-10-15,muerto
A,7007684,Fulica atra,29,6,1986,Las Nuevas PND,Aznalcazar,Sevilla,1,0,PND,NA,NA,Anillamiento,1986-06-29,anillamiento
C,7007684,Fulica atra,15,7,1986,Compuerta del Cherri,Aznalcazar,Sevilla,3,0,LEO BIAGGI,NA,NA,Encontrado muerto,1986-07-15,muerto
A,7009010,Fulica atra,14,7,1985,Las Nuevas PND,Aznalcazar,Sevilla,1,0,LEO BIAGGI,NA,NA,Anillamiento,1985-07-14,anillamiento
C,7009010,Fulica atra,2,10,1985,Las Cabezas de San Juan,Las Cabezas de San Juan,Sevilla,3,0,Particular,102,138,Cazada escopeta,1985-10-02,muerto
A,7012623,Fulica atra,7,6,1986,Lucio de Marilopez PND,Aznalcazar,Sevilla,1,0,P. Clarita,NA,NA,Anillamiento,1986-06-07,anillamiento
C,7012623,Fulica atra,5,7,1987,Lucio de Cangrejo ,Aznalcazar,Sevilla,5,0,LEO BIAGGI,NA,NA,Cazada escopeta,1987-07-05,muerto
A,7014552,Fulica atra,6,6,1987,Lucio de Marilopez PND,Aznalcazar,Sevilla,1,0,P. Clarita,NA,NA,Anillamiento,1987-06-06,anillamiento
C,7014552,Fulica atra,15,11,1988,Puebla del Rio,Puebla del Rio,Sevilla,5,0,LEO BIAGGI,NA,NA,Cazada escopeta,1988-11-15,muerto
A,7015352,Fulica atra,15,7,1987,Caño Guadiamar PND,Aznalcazar,Sevilla,6,0,P. Clarita,NA,NA,Anillamiento,1987-07-15,anillamiento
C,7015352,Fulica atra,15,12,1989,Puebla del Rio,Puebla del Rio,Sevilla,2,0,LEO BIAGGI,NA,NA,Cazada escopeta,1989-12-15,muerto
A,7017308,Fulica atra,1,7,1987,Cañada de los Pajaros,Puebla del Rio,Sevilla,3,0,LEO BIAGGI,NA,NA,Anillamiento,1987-07-01,anillamiento
C,7017308,Fulica atra,5,7,1987,Lucio de Cangrejo ,Aznalcazar,Sevilla,3,0,PND,NA,NA,Encontrado muerto,1987-07-05,muerto
A,7021619,Fulica atra,14,7,1988,Lucio del Aro PND,Aznalcazar,Sevilla,1,0,A. Herrera,NA,NA,Anillamiento,1988-07-14,anillamiento
C,7021619,Fulica atra,15,12,1988,Isla Mayor,Isla Mayor,Sevilla,3,0,Particular,NA,NA,Cazada escopeta,1988-12-15,muerto
A,7027282,Fulica atra,15,7,1988,PN Doñana,Almonte,Huelva,1,0,PND,NA,NA,Anillamiento,1988-07-15,anillamiento
C,7027282,Fulica atra,10,11,1988,Veta La Palma,Puebla del Rio,Sevilla,3,0,LEO BIAGGI,NA,NA,Cazada escopeta,1988-11-10,muerto
A,7027286,Fulica atra,15,7,1988,PN Doñana,Almonte,Huelva,1,0,PND,NA,NA,Anillamiento,1988-07-15,anillamiento
C,7027286,Fulica atra,15,11,1988,Puebla del Rio,Puebla del Rio,Sevilla,3,0,LEO BIAGGI,NA,NA,Cazada escopeta,1988-11-15,muerto
A,7038031,Fulica atra,17,2,2003,Laguna del Gobierno,La Lantejuela,Sevilla,2,0,M. Vazquez,NA,NA,Anillamiento,2003-02-17,anillamiento
C,7038031,Fulica atra,29,11,2003,L´Encanyissada,Amposta,Tarragona,2,0,ICO,285,625,control,2003-11-29,control
A,7039940,Fulica atra,1,6,1999,Entremuros,Puebla del Rio,Sevilla,5,2,EBD,NA,NA,Anillamiento,1999-06-01,anillamiento
C,7039940,Fulica atra,17,9,1999,Los Olivillos,Puebla del Rio,Sevilla,2,0,CREA,108,10,"Encontrado herido y  liberado, disparo",1999-09-17,control
A,7044247,Fulica atra,11,10,1993,Cañada de los Pajaros,Puebla del Rio,Sevilla,4,2,LEO BIAGGI,NA,NA,Anillamiento,1993-10-11,anillamiento
C,7044247,Fulica atra,24,10,1993,Camas,Camas,Sevilla,2,0,Particular,13,15,Capturada por un animal domestico no gato,1993-10-24,muerto
A,7060092,Fulica atra,25,11,2001,Cañada de los Pajaros,Puebla del Rio,Sevilla,3,1,EBD,NA,NA,Anillamiento,2001-11-25,anillamiento
C,7060092,Fulica atra,25,8,2006,El Portil,Punta Umbria,Huelva,2,0,Particular,1734,79,Encontrado muerto,2006-08-25,muerto
A,7065250,Fulica atra,25,7,2002,Veta La Palma,Puebla del Rio,Sevilla,4,0,L. Garcia,NA,NA,Anillamiento,2002-07-25,anillamiento
C,7065250,Fulica atra,5,5,2005,Trebujena,Trebujena,Cadiz,2,0,M. Vazquez,1012,26,Cazada escopeta,2005-05-05,muerto
A,2374331,Charadrius alexandrinus,18,5,1992,Laguna de Fuente de Piedra,Fuente de Piedra,Malaga,2,1,J. Aguilar,NA,NA,Anillamiento,1992-05-18,anillamiento
C,2374331,Charadrius alexandrinus,7,9,1999,Salina del Pilar,Puerto Real,Cadiz,4,0,M. Vazquez,NA,NA,control,1999-09-07,control
A,T007749,Charadrius alexandrinus,17,8,1996,Marismas del Odiel,Huelva,Huelva,4,0,M. Vazquez,NA,NA,Anillamiento,1996-08-17,anillamiento
C,T007749,Charadrius alexandrinus,6,7,1998,Laguna de Fuente de Piedra,Fuente de Piedra,Malaga,4,0,J. Aguilar,NA,NA,Encontrado muerto,1998-07-06,muerto
A,T018074,Charadrius alexandrinus,10,6,1997,Reserva de Puerto Real,Puerto Real,Cadiz,1,0,GEAM,NA,NA,Anillamiento,1997-06-10,anillamiento
C,T018074,Charadrius alexandrinus,15,11,1997,Puebla del Rio,Puebla del Rio,Sevilla,3,0,M. Vazquez,NA,NA,Cazada escopeta,1997-11-15,muerto
A,T027309,Charadrius alexandrinus,26,5,1999,Laguna de Fuente de Piedra,Fuente de Piedra,Malaga,2,0,J. Aguilar,NA,NA,Anillamiento,1999-05-26,anillamiento
C,T027309,Charadrius alexandrinus,6,7,1999,Caño Navarro,Coria del Rio,Sevilla,2,0,M. Vazquez,NA,NA,control,1999-07-06,control
A,T027361,Charadrius alexandrinus,26,6,2000,Laguna de Fuente de Piedra,Fuente de Piedra,Malaga,1,0,J. Aguilar,NA,NA,Anillamiento,2000-06-26,anillamiento
C,T027361,Charadrius alexandrinus,1,10,2000,Laguna del Gobierno,La Lantejuela,Sevilla,3,0,M. Vazquez,98,49,Encontrado muerto,2000-10-01,muerto
A,2549731,Charadrius alexandrinus,27,7,1993,Veta La Palma,Puebla del Rio,Sevilla,4,0,L. Garcia,NA,NA,Anillamiento,1993-07-27,anillamiento
C,2549731,Charadrius alexandrinus,24,8,2007,Puebla del Rio,Puebla del Rio,Sevilla,4,0,M. Vazquez,5141,35,control,2007-08-24,control
A,T040609,Charadrius alexandrinus,9,7,2005,La Quintanilla,Puebla del Rio,Sevilla,1,0,GOSUR,NA,NA,Anillamiento,2005-07-09,anillamiento
C,T040609,Charadrius alexandrinus,28,7,2005,Brazo del Este,Puebla del Rio,Sevilla,3,0,M. Vazquez,19,4,control,2005-07-28,control
A,T039335,Charadrius alexandrinus,18,7,2003,Brazo del Este,Puebla del Rio,Sevilla,1,0,GOSUR,NA,NA,Anillamiento,2003-07-18,anillamiento
C,T039335,Charadrius alexandrinus,2,6,2005,La Margazuela,Puebla del Rio,Sevilla,7,1,M. Vazquez,685,6,control,2005-06-02,control
A,Y22765,Tringa glareola,3,2,1985,El Rocio,Almonte,Huelva,2,0,EBD,NA,NA,Anillamiento,1985-02-03,anillamiento
C,Y22765,Tringa glareola,3,11,1988,Puebla del Rio,Puebla del Rio,Sevilla,2,0,LEO BIAGGI,NA,NA,Cazada escopeta,1988-11-03,muerto
A,T014001,Calidris alpina,30,10,1997,Marismas del Odiel,Huelva,Huelva,4,0,JM Sayago,NA,NA,Anillamiento,1997-10-30,anillamiento
C,T014001,Calidris alpina,14,9,2001,Salinas de Santa Teresa,Sanlucar de Barrameda,Cadiz,A,0,M. Vazquez,1415,115,control,2001-09-14,control
A,5012735,Recurvirostra avosetta,6,5,1999,Salina del Pilar,Puerto Real,Cadiz,4,0,Zamalla,NA,NA,Anillamiento,1999-05-06,anillamiento
C,5012735,Recurvirostra avosetta,21,3,2006,Salinas de la Tapa,Puerto de Santa Maria,Cadiz,A,0,CREA,2511,9,Encontrado muerto,2006-03-21,muerto
A,4003266,Himantopus himantopus,25,6,1988,Isla Mayor,Isla Mayor,Sevilla,1,0,L. Garcia,NA,NA,Anillamiento,1988-06-25,anillamiento
C,4003266,Himantopus himantopus,15,11,1988,Puebla del Rio,Puebla del Rio,Sevilla,3,0,LEO BIAGGI,NA,NA,Cazada escopeta,1988-11-15,muerto
A,4013817,Himantopus himantopus,3,6,1988,Isla Mayor,Isla Mayor,Sevilla,1,0,EBD,NA,NA,Anillamiento,1988-06-03,anillamiento
C,4013817,Himantopus himantopus,12,7,1988,Puebla del Rio,Puebla del Rio,Sevilla,3,0,LEO BIAGGI,NA,NA,Encontrado muerto,1988-07-12,muerto
A,4013835,Himantopus himantopus,20,6,1989,Isla Mayor,Isla Mayor,Sevilla,1,0,J. Cuervo,NA,NA,Anillamiento,1989-06-20,anillamiento
C,4013835,Himantopus himantopus,6,7,1989,Puebla del Rio,Puebla del Rio,Sevilla,3,0,LEO BIAGGI,NA,NA,Encontrado muerto,1989-07-06,muerto
A,4003416,Himantopus himantopus,1,7,1987,Aznalcazar,Aznalcazar,Sevilla,1,0,LEO BIAGGI,NA,NA,Anillamiento,1987-07-01,anillamiento
C,4003416,Himantopus himantopus,10,1,1988,Chiclana de la Frontera,Chiclana de la Frontera,Cadiz,5,0,Particular,NA,NA,Encontrado muerto,1988-01-10,muerto
A,3062641,Glareola pratincola,12,7,1996,Los Palacios,Los Palacios,Sevilla,1,0,M. Vazquez,NA,NA,Anillamiento,1996-07-12,anillamiento
C,3062641,Glareola pratincola,15,1,1998,Poblado de Trajano,Utrera,Sevilla,7,0,Particular,552,11,Encontrado muerto,1998-01-15,muerto
A,3064486,Glareola pratincola,9,6,1994,Brazo del Este,Puebla del Rio,Sevilla,1,0,M. Vazquez,NA,NA,Anillamiento,1994-06-09,anillamiento
C,3064486,Glareola pratincola,27,7,1994,Casablanca,Los Palacios,Sevilla,3,0,Particular,49,8,Encontrado muerto,1994-07-27,muerto
A,5059804,Larus genei,22,7,1998,Veta la Palma,Puebla del Rio,Sevilla,1,0,L. Garcia,NA,NA,Anillamiento,1998-07-22,anillamiento
C,5059804,Larus genei,19,5,2001,Salinas de Santa Teresa,Sanlucar de Barrameda,Cadiz,9,0,M. Vazquez,1032,41,control,2001-05-19,control
A,6004364,Larus genei,29,6,1995,Veta la Palma,Puebla del Rio,Sevilla,1,0,L. Garcia,NA,NA,Anillamiento,1995-06-29,anillamiento
C,6004364,Larus genei,19,5,2001,Salinas de Santa Teresa,Sanlucar de Barrameda,Cadiz,A,0,M. Vazquez,2151,41,control,2001-05-19,control
A,4035768,Larus ridibundus,2,10,1994,Colmenar Viejo,Colmenar Viejo,Madrid,4,2,EMA,NA,NA,Anillamiento,1994-10-02,anillamiento
C,4035768,Larus ridibundus,20,10,1998,Salinas de Bonanza,Sanlucar de Barrameda,Cadiz,4,0,M. Vazquez,1479,490,control,1998-10-20,control
A,4051366,Larus ridibundus,13,6,1998,Miguel Esteban,Miguel Esteban,Toledo,1,0,GO El Pardo,NA,NA,Anillamiento,1998-06-13,anillamiento
C,4051366,Larus ridibundus,10,8,2000,Salinas de Bonanza,Sanlucar de Barrameda,Cadiz,7,0,M. Vazquez,789,412,control,2000-08-10,control
A,4074612,Gelochelidon nilotica,26,6,1997,Veta La Palma,Puebla del Rio,Sevilla,1,0,L. Garcia,NA,NA,Anillamiento,1997-06-26,anillamiento
C,4074612,Gelochelidon nilotica,29,4,2000,Laguna del Gobierno,La Lantejuela,Sevilla,9,0,Zamalla,1026,100,Encontrado muerto,2000-04-29,muerto
A,4041442,Clamator glandarius,11,6,1993,Chimeneas,Chimeneas,Granada,1,0,M. Vazquez,NA,NA,Anillamiento,1993-06-11,anillamiento
C,4041442,Clamator glandarius,11,7,1993,Pinar de La Algaida,Sanlucar de Barrameda,Cadiz,3,0,Particular,30,228,Encontrado muerto,1993-07-11,muerto
A,1004921,Bubo bubo,20,10,1998,Rio Huesna,El Pedroso,Sevilla,3,0,M. Vazquez,NA,NA,Anillamiento,1998-10-20,anillamiento
C,1004921,Bubo bubo,7,11,1998,Cantillana,Cantillana,Sevilla,3,0,PND,18,19,Encontrado muerto,1998-11-07,muerto
A,7028355,Tyto alba,11,2,1996,Cañada de los Pajaros,Puebla del Rio,Sevilla,4,0,CDP,NA,NA,Anillamiento,1996-02-11,anillamiento
C,7028355,Tyto alba,25,2,1996,Villanueva del Ariscal,Villanueva del Ariscal,Sevilla,4,0,M. Vazquez,14,14,control,1996-02-25,control
A,V027251,Caprimulgus europaeus,9,6,2001,Monte Castelo Darbo,Cangas de Morrazo,Pontevedra,4,1,Anduriña,NA,NA,Anillamiento,2001-06-09,anillamiento
C,V027251,Caprimulgus europaeus,11,5,2004,Torrebalnca de los Caños,Sevilla,Sevilla,4,0,M. Vazquez,1067,596,control,2004-05-11,control
A,3027096,Caprimulgus ruficollis,23,8,1990,PN Doñana,Almonte,Huelva,6,1,L. Garcia,NA,NA,Anillamiento,1990-08-23,anillamiento
C,3027096,Caprimulgus ruficollis,2,10,2001,Villamanrique,Villamanrique,Sevilla,4,0,M. Vazquez,4058,29,Atropellado,2001-10-02,muerto
A,3036226,Caprimulgus ruficollis,28,8,1996,El Alcornocal,Los Palacios,Sevilla,1,0,M. Vazquez,NA,NA,Anillamiento,1996-08-28,anillamiento
C,3036226,Caprimulgus ruficollis,15,10,1996,Jerez de la Frontera,Jerez de la Frontera,Cadiz,3,0,Particular,48,57,Atropellado recuperado y liberado,1996-10-15,control
A,A44940,Alcedo atthis,31,5,1985,Los Palacios,Los Palacios,Sevilla,4,0,GOSUR,NA,NA,Anillamiento,1985-05-31,anillamiento
C,A44940,Alcedo atthis,19,7,1987,Cañada de los Pajaros,Puebla del Rio,Sevilla,4,0,M. Vazquez,898,18,control,1987-07-19,control
A,4031313,Coracias garrulus,29,6,1991,Carmona,Carmona,Sevilla,1,0,EBD,NA,NA,Anillamiento,1991-06-29,anillamiento
C,4031313,Coracias garrulus,2,9,1993,Osuna,Osuna,Sevilla,2,0,LEO BIAGGI,796,49,Colision con tendido electrico,1993-09-02,muerto
A,4041068,Coracias garrulus,18,7,1993,Marchena,Marchena,Sevilla,1,0,LEO BIAGGI,NA,NA,Anillamiento,1993-07-18,anillamiento
C,4041068,Coracias garrulus,11,6,1994,San Sebastian de Ballesteros,San Sebastian de Ballesteros,Cordoba,4,0,Particular,328,62,Encontrado herido y no liberado,1994-06-11,control
A,9006627,Phoenicopterus ruber,21,8,1988,Laguna de Fuente de Piedra,Fuente de Piedra,Malaga,1,0,EBD,NA,NA,Anillamiento,1988-08-21,anillamiento
C,9006627,Phoenicopterus ruber,5,5,2005,Trebujena,Trebujena,Cadiz,A,0,M. Vazquez,6101,131,Cazada escopeta solo anilla,2005-05-05,muerto
A,1005849,Phoenicopterus ruber,15,8,1998,Laguna de Fuente de Piedra,Fuente de Piedra,Malaga,1,0,EBD,NA,NA,Anillamiento,1998-08-15,anillamiento
C,1005849,Phoenicopterus ruber,5,5,2005,Trebujena,Trebujena,Cadiz,A,0,M. Vazquez,2455,131,Cazada escopeta solo anilla,2005-05-05,muerto
A,1005554,Phoenicopterus ruber,15,8,1998,Laguna de Fuente de Piedra,Fuente de Piedra,Malaga,1,0,EBD,NA,NA,Anillamiento,1998-08-15,anillamiento
C,1005554,Phoenicopterus ruber,5,5,2005,Trebujena,Trebujena,Cadiz,A,0,M. Vazquez,2455,131,Cazada escopeta solo anilla,2005-05-05,muerto
A,1009532,Phoenicopterus ruber,25,6,2001,Caño Cardales PND,Aznalcazar,Sevilla,1,0,EBD,NA,NA,Anillamiento,2001-06-25,anillamiento
C,1009532,Phoenicopterus ruber,5,5,2005,Trebujena,Trebujena,Cadiz,A,0,M. Vazquez,1410,24,Cazada escopeta solo anilla,2005-05-05,muerto
