MODO,METAL,ESPECIE,DIA,MES,AÑO,LUGAR,MUNICIPIO,PROVINCIA,EDAD,SEXO,ANILLADOR,Dias,Kms,Observaciones,FECHA CONTROL 1,Observaciones simple
C,2203968,Passer hispaniolensis,20,1,2003,Osuna,Osuna,Sevilla,4,1,Zamalla,694,14,Cazada por esmerejon,2003-01-20,muerto
A,2168876,Passer montanus,14,3,1989,La Estrella,Palomares del Rio,Sevilla,4,0,M. Vazquez,NA,NA,Anillamiento,1989-03-14,anillamiento
C,2168876,Passer montanus,19,7,1989,Huerta del Majano,Coria del Rio,Sevilla,4,0,Cazador,NA,10,Cazada con escopeta,1989-07-19,muerto
A,L111793,Fringilla coelebs,10,6,1997,Base de los Llanos,Albacete,Albacete,3,0,G Manchego,NA,NA,Anillamiento,1997-06-10,anillamiento
C,L111793,Fringilla coelebs,12,8,1999,Los Altos de Escucha,Albacete,Albacete,2,0,M. Vazquez,5,793,Cazada por buho o rapaz,1999-08-12,muerto
A,191482,Serinus serinus,19,6,1988,Huerta Daniel,Puebla del Rio,Sevilla,3,1,M. Vazquez,NA,NA,Anillamiento,1988-06-19,anillamiento
C,191482,Serinus serinus,15,8,1988,Hornachuelos,Hornachuelos,Cordoba,2,0,Particular,56,97,Encotrado muerto,1988-08-15,muerto
A,233005,Serinus serinus,2,7,1988,Cerro Gordo,Puebla del Rio,Sevilla,3,1,M. Vazquez,NA,NA,Anillamiento,1988-07-02,anillamiento
C,233005,Serinus serinus,15,7,1988,Piscina de Coria,Coria del Rio,Sevilla,2,0,Particular,14,5,Cazada con red de tiro no se libera,1988-07-15,muerto
A,905959,Serinus serinus,11,8,1998,La Escribana,Coria del Rio,Sevilla,3,1,M. Vazquez,NA,NA,Anillamiento,1998-08-11,anillamiento
C,905959,Serinus serinus,11,12,1998,Puebla del Rio,Puebla del Rio,Sevilla,2,0,Particular,122,3,Encotrado muerto,1998-12-11,muerto
A,927913,Serinus serinus,30,4,1998,Pinar de Doña Rosa,Lora del Rio,Sevilla,5,1,M. Vazquez,NA,NA,Anillamiento,1998-04-30,anillamiento
C,927913,Serinus serinus,5,10,1998,Monte Gorla,Bergara,Guipuzcoa,2,0,Particular,158,662,Encotrado muerto,1998-10-05,muerto
A,191483,Serinus serinus,19,6,1988,Huerta Daniel,Puebla del Rio,Sevilla,3,1,M. Vazquez,NA,NA,Anillamiento,1988-06-19,anillamiento
C,191483,Serinus serinus,25,10,1988,Los Olmasos,Puebla del Rio,Sevilla,2,0,Particular,NA,6,Cazada,1988-10-25,muerto
A,400569,Serinus serinus,27,9,1990,Huerta El Torno,Dos Hermanas,Sevilla,3,2,M. Vazquez,NA,NA,Anillamiento,1990-09-27,anillamiento
C,400569,Serinus serinus,15,3,1992,Dos Hermanas,Dos Hermanas,Sevilla,2,0,Particular,535,4,Cazada con escopeta,1992-03-15,muerto
