MODO,METAL,ESPECIE,DIA,MES,AÑO,LOCALIDAD,PAIS,EDAD,SEXO,ANILLADOR,Dias,Kms,Observaciones,FECHA CONTROL 1,Observaciones simple
A,832254,Riparia riparia,14,8,1997,"El Pantano, Los Palacios, Sevilla",España,2,0,M. Vazquez,NA,NA,Anillamiento,1997-08-14,anillamiento
C,832254,Riparia riparia,20,5,1998,"Marateca, Setubal, Estremadura",Portugal,4,0,Extranjero,279,298,control ,1998-05-20,control
A,AF1338,Riparia riparia,4,9,1999,"Laguna Cerro de las Cigüeñas, Los Palacios, Sevilla",España,3,0,M. Vazquez,NA,NA,Anillamiento,1999-09-04,anillamiento
C,AF1338,Riparia riparia,19,6,2000,"Mid Lairgs, Daviot, Highland Region",Gran Bretaña,4,2,Extranjero,289,2252,control ,2000-06-19,control
A,A161871,Riparia riparia,25,6,1998,"Paul da Madriz, Coimbra, Beira Litoral",Portugal,3,0,Extranjero,NA,NA,Anillamiento,1998-06-25,anillamiento
C,A161871,Riparia riparia,22,8,1999,"Laguna Cerro de las Cigüeñas, Los Palacios, Sevilla",España,4,0,M. Vazquez,423,402,control ,1999-08-22,control
A,A166280,Riparia riparia,5,7,1999,"Paul da Madriz, Coimbra, Beira Litoral",Portugal,3,0,Extranjero,NA,NA,Anillamiento,1999-07-05,anillamiento
C,A166280,Riparia riparia,22,8,1999,"Laguna Cerro de las Cigüeñas, Los Palacios, Sevilla",España,3,0,M. Vazquez,48,404,Muerto en red japonesa ahogado,1999-08-22,muerto
A,229553,Hirundo rustica,19,4,1988,"Puebla del Rio, Sevilla",España,1,0,LEO BIAGGI,NA,NA,Anillamiento,1988-04-19,anillamiento
C,229553,Hirundo rustica,8,5,1991,Missour,Marruecos,2,0,Extranjero,1114,504,Encontrado muerto,1991-05-08,muerto
A,309387,Hirundo rustica,4,5,1991,"Cortijo Saballo, Marinaleda, Sevilla",España,1,0,M. Vazquez,NA,NA,Anillamiento,1991-05-04,anillamiento
C,309387,Hirundo rustica,24,3,1992,Beni Mellal,Marruecos,5,0,Particular,325,575,control ,1992-03-24,control
A,AC5521,Hirundo rustica,21,8,1999,"Laguna Cerro de las Cigüeñas, Los Palacios, Sevilla",España,3,0,M. Vazquez,NA,NA,Anillamiento,1999-08-21,anillamiento
C,AC5521,Hirundo rustica,24,1,2000,"Ebbajen, Boje",Nigeria,5,0,Particular,156,3747,control ,2000-01-24,control
A,AF1523,Hirundo rustica,4,9,1999,"Laguna Cerro de las Cigüeñas, Los Palacios, Sevilla",España,3,0,M. Vazquez,NA,NA,Anillamiento,1999-09-04,anillamiento
C,AF1523,Hirundo rustica,19,4,2000,PN de Souss Massa,Marruecos,2,0,CRBPO,228,869,Colision con un avion,2000-04-19,muerto
A,N207694,Hirundo rustica,6,10,2005,"Caño Navarro, Coria del Rio, Sevilla",España,3,0,M. Vazquez,NA,NA,Anillamiento,2005-10-06,anillamiento
C,N207694,Hirundo rustica,13,5,2006,"Norton, South Yorks",Gran Bretaña,5,0,BTO,219,1855,control ,2006-05-13,control
A,1184479,Anthus pratensis,1,10,1982,"Overijse, Brabant",Belgica,4,0,Extranjero,NA,NA,Anillamiento,1982-10-01,anillamiento
C,1184479,Anthus pratensis,5,12,1987,"Coria del Rio, Sevilla",España,4,0,M. Vazquez,1889,1706,Cazada,1987-12-05,muerto
A,1235157,Anthus pratensis,9,10,1980,"Lokeren, Cost VL",Belgica,2,0,Extranjero,NA,NA,Anillamiento,1980-10-09,anillamiento
C,1235157,Anthus pratensis,2,11,1980,"Coria del Rio, Sevilla",España,2,0,M. Vazquez,NA,NA,Cazada red de suelo,1980-11-02,muerto
A,2265107,Anthus pratensis,23,9,1986,"Awirs, Luik, Lieja",Belgica,3,0,Extranjero,NA,NA,Anillamiento,1986-09-23,anillamiento
C,2265107,Anthus pratensis,30,6,1987,"Puebla del Rio, Sevilla",España,2,0,M. Vazquez,260,1758,Solo anilla,1987-06-30,muerto
A,2279724,Anthus pratensis,13,10,1986,"Bellers, Henegouwen",Belgica,4,0,Extranjero,NA,NA,Anillamiento,1986-10-13,anillamiento
C,2279724,Anthus pratensis,20,11,1988,"Puebla del Rio, Sevilla",España,2,0,M. Vazquez,767,1668,Cazada,1988-11-20,muerto
A,2083874,Anthus pratensis,2,10,1988,"Neerpelt, Limburg",Belgica,4,0,Extranjero,NA,NA,Anillamiento,1988-10-02,anillamiento
C,2083874,Anthus pratensis,12,11,1988,"Carmona, Sevilla",España,2,0,M. Vazquez,40,1760,Cazada con percha,1988-11-12,muerto
A,2722123,Anthus pratensis,11,10,1987,"Merksplas, Antwerpen, Amberes",Belgica,4,0,Extranjero,NA,NA,Anillamiento,1987-10-11,anillamiento
C,2722123,Anthus pratensis,12,11,1988,"Carmona, Sevilla",España,2,0,M. Vazquez,396,1753,Cazada con percha,1988-11-12,muerto
A,3482480,Anthus pratensis,30,9,1989,"Sourbrodt, Luik, Lieja",Belgica,3,0,Extranjero,NA,NA,Anillamiento,1989-09-30,anillamiento
C,3482480,Anthus pratensis,1,11,1994,"Coria del Rio, Sevilla",España,2,0,M. Vazquez,1858,1756,Cazada,1994-11-01,muerto
A,3580464,Anthus pratensis,11,10,1990,"Anzegem, Flandes Occidental",Belgica,4,0,Extranjero,NA,NA,Anillamiento,1990-10-11,anillamiento
C,3580464,Anthus pratensis,25,15,1991,"Puñana, Almensilla, Sevilla",España,2,0,M. Vazquez,441,1600,Cazada,NA,muerto
A,8305694,Anthus pratensis,27,9,2002,"Hamme St Anna, Oost Vlaanderen, Flandes",Belgica,3,0,Extranjero,NA,NA,Anillamiento,2002-09-27,anillamiento
C,8305694,Anthus pratensis,15,11,2004,"Trebujena, Cadiz",España,2,0,M. Vazquez,780,1780,Cazada,2004-11-15,muerto
A,XC743076,Anthus pratensis,29,7,1988,"Kandalakshskiy Zap-K, Bolshoy, Murmansk",Rusia,3,0,Extranjero,NA,NA,Anillamiento,1988-07-29,anillamiento
C,XC743076,Anthus pratensis,4,12,1988,"Los Palacios, Sevilla",España,2,0,M. Vazquez,128,4255,Cazada,1988-12-04,muerto
A,XD973232,Anthus pratensis,4,7,1991,"Kandalakshskiy, Barentsevo, Mor Murmansk",Rusia,1,0,Extranjero,NA,NA,Anillamiento,1991-07-04,anillamiento
C,XD973232,Anthus pratensis,15,12,1992,"Dos Hermanas, Sevilla",España,5,0,M. Vazquez,530,4244,Cazada,1992-12-15,muerto
A,XD973239,Anthus pratensis,6,7,1991,"Kandalakshskiy, Barentsevo, Mor Murmansk",Rusia,1,0,Extranjero,NA,NA,Anillamiento,1991-07-06,anillamiento
C,XD973239,Anthus pratensis,15,12,1992,"Dos Hermanas, Sevilla",España,5,0,M. Vazquez,528,4246,Cazada,1992-12-15,muerto
A,E225608,Anthus pratensis,15,9,1987,"Sporn Point, Humberside",Gran Bretaña,3,0,Extranjero,NA,NA,Anillamiento,1987-09-15,anillamiento
C,E225608,Anthus pratensis,25,10,1988,"Coria del Rio, Sevilla",España,2,0,M. Vazquez,405,1872,Cazada,1988-10-25,muerto
A,H559564,Anthus pratensis,13,9,1992,"Spurn Head, Humberside",Gran Bretaña,3,0,Extranjero,NA,NA,Anillamiento,1992-09-13,anillamiento
C,H559564,Anthus pratensis,17,11,1992,"Colegio El Rocio, Torreblanca, Sevilla",España,2,0,M. Vazquez,65,1856,Encontrado muerto,1992-11-17,muerto
A,E117353,Anthus pratensis,5,9,1989,"Finset, Hemsedal, Buskerund",Noruega,4,0,Extranjero,NA,NA,Anillamiento,1989-09-05,anillamiento
C,E117353,Anthus pratensis,30,10,1991,"Huevar, Sevilla",España,2,0,M. Vazquez,815,2815,Cazada,1991-10-30,muerto
A,E193569,Anthus pratensis,14,8,1989,"Fraena, More Og Romsdal",Noruega,3,0,Extranjero,NA,NA,Anillamiento,1989-08-14,anillamiento
C,E193569,Anthus pratensis,1,11,1994,"Coria del Rio, Sevilla",España,2,0,M. Vazquez,1905,2988,Cazada,1994-11-01,muerto
A,A997542,Anthus pratensis,22,9,1988,"Kennmerduinen, Harlen, Noord Holland",Holanda,4,0,Extranjero,NA,NA,Anillamiento,1988-09-22,anillamiento
C,A997542,Anthus pratensis,5,11,1988,"Carmona, Sevilla",España,2,0,M. Vazquez,43,1842,Cazada con percha,1988-11-05,muerto
A,3039383,Motacilla cinerea,8,9,1988,Clabecq,Belgica,2,0,Extranjero,NA,NA,Anillamiento,1988-09-08,anillamiento
C,3039384,Motacilla cinerea,11,12,1988,"Torreblanca, Sevilla",España,2,0,M. Vazquez,NA,1683,Otros,1988-12-11,muerto
A,3924820,Motacilla flava,10,3,1993,"PN Djoudj, Fleuve",Senegal,4,2,Extranjero,NA,NA,Anillamiento,1993-03-10,anillamiento
C,3924820,Motacilla flava,28,10,1995,"Puebla del Rio, Sevilla",España,2,0,M. Vazquez,962,2525,Encontrado muerto,1995-10-28,muerto
A,9004398,Ciconia ciconia,29,5,1992,"Cañada de los Pajaros, Puebla del Rio, Sevilla",España,1,0,M. Vazquez,NA,NA,Anillamiento,1992-05-29,anillamiento
C,9004398,Ciconia ciconia,5,3,1999,Tombouctou,Mali,A,0,Extranjero,NA,NA,Encontrado muerto,1999-03-05,muerto
A,23V12140,Motacilla alba,7,4,1983,"St Amande, Antwerpen",Belgica,4,1,Extranjero,NA,NA,Anillamiento,1983-04-07,anillamiento
C,23V12140,Motacilla alba,3,11,1986,"Coria del Rio, Sevilla",España,2,0,M. Vazquez,NA,NA,Cazada,1986-11-03,muerto
A,33V12675,Motacilla alba,18,9,1990,"Zele Heikant, Flandes Occidental",Belgica,3,0,Extranjero,NA,NA,Anillamiento,1990-09-18,anillamiento
C,33V12675,Motacilla alba,25,12,1991,"Puñana, Almensilla, Sevilla",España,5,0,M. Vazquez,464,1650,Cazada,1991-12-25,muerto
A,4262822,Motacilla alba,30,9,1992,"Boortmeerbeek, Brabant",Belgica,3,0,Extranjero,NA,NA,Anillamiento,1992-09-30,anillamiento
C,4262822,Motacilla alba,15,12,1992,"Dos Hermanas, Sevilla",España,3,0,M. Vazquez,76,1734,Atropellado,1992-12-15,muerto
A,80710173,Motacilla alba,13,6,1987,"Plau Appelburg, Schwerin",Alemania,1,0,Extranjero,NA,NA,Anillamiento,1987-06-13,anillamiento
C,80710173,Motacilla alba,15,12,1987,"Coria del Rio, Sevilla",España,3,0,M. Vazquez,182,2286,Cazada,1987-12-15,muerto
A,3196662,Sturnus vulgaris,24,11,2001,"La Fao, Aznalcazar, Sevilla",España,3,2,M. Vazquez,NA,NA,Anillamiento,2001-11-24,anillamiento
C,3196662,Sturnus vulgaris,20,10,2002,"Mas Thibert, Bouches du Rhone",Francia,2,0,Extranjero,330,1203,Cazado con escopeta,2002-10-20,muerto
A,1E87964,Prunella modularis,15,9,2001,"Jabekk, Mandal, Vest Agder",Noruega,3,0,M. Vazquez,NA,NA,Anillamiento,2001-09-15,anillamiento
C,1E87964,Prunella modularis,11,11,2001,"El Alamillo, Sevilla",España,3,0,Extranjero,57,2495,control ,2001-11-11,control
A,N216363,Acrocephalus schoenobaenus,9,4,2006,"Laguna del Gobierno, Lantejuela,Sevilla",España,4,0,M. Vega,NA,NA,Anillamiento,2006-04-09,anillamiento
C,N216363,Acrocephalus schoenobaenus,23,4,2006,"Sewage Treatment Works, Bedfordshire",Gran Bretaña,4,0,BTO,14,1662,control ,2006-04-23,control
C,N216363,Acrocephalus schoenobaenus,3,6,2007,"Sewage Treatment Works, Bedfordshire",Gran Bretaña,4,0,BTO,420,1662,control ,2007-06-03,control
A,4513029,Acrocephalus schoenobaenus,8,5,2002,"Vred, Nord",Francia,4,1,Extranjero,NA,NA,Anillamiento,2002-05-08,anillamiento
C,4513029,Acrocephalus schoenobaenus,17,3,2004,"Veta la Palma, Puebla del Rio, Sevilla",España,4,0,M. Vazquez,679,1653,control ,2004-03-17,control
A,AC0331,Acrocephalus schoenobaenus,29,5,2005,"Jersey Bird Observatory, ST Ouen, Jersey Islas del Canal",Gran Bretaña,4,0,Extranjero,NA,NA,Anillamiento,2005-05-29,anillamiento
C,AC0331,Acrocephalus schoenobaenus,18,8,2006,"Caño Navarro, Coria del Rio, Sevilla",España,4,0,M. Vazquez,446,1367,control ,2006-08-18,control
A,A175939,Acrocephalus schoenobaenus,10,9,2004,"Barrinha de Mira, Coimbra",Portugal,3,0,Extranjero,NA,NA,Anillamiento,2004-09-10,anillamiento
C,A175939,Acrocephalus schoenobaenus,15,5,2005,"Laguna del Gobierno, Lantejuela,Sevilla",España,4,0,M. Vega,247,461,control ,2005-05-15,control
A,VP21064,Acrocephalus palustris,19,8,2003,"Ventes Ragas, Silute",Lituania,3,0,Extranjero,NA,NA,Anillamiento,2003-08-19,anillamiento
C,VP21065,Acrocephalus palustris,30,5,2004,"Laguna del Gobierno, Lantejuela,Sevilla",España,4,0,M. Vega,285,2815,control ,2004-05-30,control
A,VD76554,Acrocephalus palustris,21,7,2004,"Roblingen, Mansfelder, Halle",Alemania,3,0,Extranjero,NA,NA,Anillamiento,2004-07-21,anillamiento
C,VD76554,Acrocephalus palustris,26,8,2004,"Caño Navarro, Coria del Rio, Sevilla",España,3,0,M. Vazquez,36,2100,control ,2004-08-26,control
A,ZB55555,Acrocephalus scirpaceus,25,5,2002,"Bohmke U Werder Wolgast, Rostock",Alemania,4,0,Extranjero,NA,NA,Anillamiento,2002-05-25,anillamiento
C,ZB55555,Acrocephalus scirpaceus,15,5,2005,"Laguna del Gobierno, Lantejuela,Sevilla",España,4,0,M. Vega,1086,2359,control ,2005-05-15,control
A,3229814,Acrocephalus scirpaceus,27,5,1990,"Wetteren, Oost Vlaanderen, Flandes Or",Belgica,4,0,Extranjero,NA,NA,Anillamiento,1990-05-27,anillamiento
C,3229814,Acrocephalus scirpaceus,5,10,1992,"Sanlucar de Barrameda, Cadiz",España,4,0,M. Vazquez,862,1777,Cazada,1992-10-05,muerto
A,4115167,Acrocephalus scirpaceus,1,9,1991,"Genk, Limburg",Belgica,3,0,Extranjero,NA,NA,Anillamiento,1991-09-01,anillamiento
C,4115167,Acrocephalus scirpaceus,5,5,1995,"La Escribana, Coria del Rio, Sevilla",España,4,0,M. Vazquez,1342,1769,control ,1995-05-05,control
A,4449241,Acrocephalus scirpaceus,18,8,1992,"Nismes, Namen, Namur",Belgica,3,0,Extranjero,NA,NA,Anillamiento,1992-08-18,anillamiento
C,4449241,Acrocephalus scirpaceus,6,9,1994,"Villaverde del Rio, Sevilla",España,4,0,M. Vazquez,749,1617,Encontrado muerto,1994-09-06,muerto
A,9441291,Acrocephalus scirpaceus,11,8,2005,"Wetteren, Oost Vlaanderen, Flandes Or",Belgica,3,0,Extranjero,NA,NA,Anillamiento,2005-08-11,anillamiento
C,9441291,Acrocephalus scirpaceus,25,8,2006,"Caño Navarro, Coria del Rio, Sevilla",España,4,0,M. Vazquez,379,1714,control ,2006-08-25,control
A,9445337,Acrocephalus scirpaceus,30,8,2005,"Essen, Antwerpen, Amberes",Belgica,3,0,Extranjero,NA,NA,Anillamiento,2005-08-30,anillamiento
C,9445337,Acrocephalus scirpaceus,28,8,2006,"Caño Navarro, Coria del Rio, Sevilla",España,4,0,M. Vazquez,363,1784,control ,2006-08-28,control
A,9417466,Acrocephalus scirpaceus,1,8,2005,"Teralfene, Vlaams Brabant",Belgica,4,0,Extranjero,NA,NA,Anillamiento,2005-08-01,anillamiento
C,9417466,Acrocephalus scirpaceus,25,8,2006,"Caño Navarro, Coria del Rio, Sevilla",España,4,0,M. Vazquez,389,1711,control ,2006-08-25,control
A,9459246,Acrocephalus scirpaceus,16,8,2005,"Zulte, Oost Vlaanderen, Flandes",Belgica,3,0,Extranjero,NA,NA,Anillamiento,2005-08-16,anillamiento
C,9459246,Acrocephalus scirpaceus,14,8,2006,"Caño Navarro, Coria del Rio, Sevilla",España,4,0,M. Vazquez,363,1690,control ,2006-08-14,control
A,9645641,Acrocephalus scirpaceus,7,8,2006,"Oorderen, Antwerpen, Amberes",Belgica,4,0,Extranjero,NA,NA,Anillamiento,2006-08-07,anillamiento
C,9645641,Acrocephalus scirpaceus,28,9,2006,"Laguna del Gobierno, Lantejuela,Sevilla",España,4,0,M. Vazquez,52,1722,control ,2006-09-28,control
A,9836110,Acrocephalus scirpaceus,17,8,2006,"Sint Amands, Antwerpen, Amberes",Belgica,3,0,Extranjero,NA,NA,Anillamiento,2006-08-17,anillamiento
C,9836110,Acrocephalus scirpaceus,24,5,2008,"Laguna del Gobierno, Lantejuela,Sevilla",España,4,0,M. Vega,646,1694,control ,2008-05-24,control
A,TA6632,Acrocephalus scirpaceus,2,8,2001,"Lazne Bohdanec, Pardubice",Republica Checa,3,0,Extranjero,NA,NA,Anillamiento,2001-08-02,anillamiento
C,TA6632,Acrocephalus scirpaceus,8,5,2005,"Laguna del Gobierno, Lantejuela,Sevilla",España,4,0,M. Vazquez,1375,2181,control ,2005-05-08,control
A,N360289,Acrocephalus scirpaceus,30,4,2005,"Nakri, Ceske Budejovice",Republica Checa,3,0,Extranjero,NA,NA,Anillamiento,2005-04-30,anillamiento
C,N360289,Acrocephalus scirpaceus,16,4,2006,"Laguna del Gobierno, Lantejuela,Sevilla",España,4,0,M. Vega,351,2042,control ,2006-04-16,control
A,176745,Acrocephalus scirpaceus,5,7,1987,"Huerta Daniel, Puebla del Rio, Sevilla",España,4,0,M. Vazquez,NA,NA,Anillamiento,1987-07-05,anillamiento
C,176745,Acrocephalus scirpaceus,14,3,1993,"PN Du Djoudj, Fleuve",Senegal,4,0,Extranjero,2079,2525,control ,1993-03-14,control
A,N215996,Acrocephalus scirpaceus,15,5,2005,"Laguna del Gobierno, Lantejuela,Sevilla",España,4,0,M. Vega,NA,NA,Anillamiento,2005-05-15,anillamiento
C,N215997,Acrocephalus scirpaceus,22,8,2005,"Heuseux, Luik, Lieja",Belgica,4,0,Extranjero,99,1714,control ,2005-08-22,control
A,AE63003,Acrocephalus scirpaceus,14,8,1999,"Vrhinika, Ljubljansko Barje, Slovenia",Eslovenia,4,0,Extranjero,NA,NA,Anillamiento,1999-08-14,anillamiento
C,AE63003,Acrocephalus scirpaceus,9,5,2004,"Laguna del Gobierno, Lantejuela,Sevilla",España,4,0,M. Vega,1730,1875,control ,2004-05-09,control
A,3981584,Acrocephalus scirpaceus,14,3,1993,"PN Du Djoudj, Fleuve",Senegal,4,0,Extranjero,NA,NA,Anillamiento,1993-03-14,anillamiento
C,3981584,Acrocephalus scirpaceus,4,7,1993,"Ecija, Sevilla",España,4,0,LEO BIAGGI,81,2593,control ,1993-07-04,control
A,4681485,Acrocephalus scirpaceus,30,7,2004,"Arraincourt, Moselle",Francia,4,0,Extranjero,NA,NA,Anillamiento,2004-07-30,anillamiento
C,4681485,Acrocephalus scirpaceus,11,8,2005,"Caño Navarro, Coria del Rio, Sevilla",España,4,0,M. Vazquez,377,1647,control ,2005-08-11,control
A,4975168,Acrocephalus scirpaceus,9,9,2004,"Marais de Wissant, Tardinghen, Pas de Calais",Francia,3,0,Extranjero,NA,NA,Anillamiento,2004-09-09,anillamiento
C,4975168,Acrocephalus scirpaceus,22,5,2005,"Laguna del Gobierno, Lantejuela,Sevilla",España,4,0,M. Vega,255,1596,control ,2005-05-22,control
A,R215620,Acrocephalus scirpaceus,8,6,2005,"Canterbury, Kent",Gran Bretaña,4,1,Extranjero,NA,NA,Anillamiento,2005-06-08,anillamiento
C,R215620,Acrocephalus scirpaceus,5,9,2006,"Caño Navarro, Coria del Rio, Sevilla",España,4,0,M. Vazquez,454,1659,control ,2006-09-05,control
A,R303080,Acrocephalus scirpaceus,6,8,2002,"Westwick, Bishop Monkton, Northyorkshire",Gran Bretaña,4,1,Extranjero,NA,NA,Anillamiento,2002-08-06,anillamiento
C,R303080,Acrocephalus scirpaceus,11,8,2006,"Caño Navarro, Coria del Rio, Sevilla",España,4,0,M. Vazquez,1466,1904,control ,2006-08-11,control
A,AD29919,Acrocephalus scirpaceus,31,7,2001,"Agelo, Overijssel",Holanda,1,0,Extranjero,NA,NA,Anillamiento,2001-07-31,anillamiento
C,AD29919,Acrocephalus scirpaceus,24,10,2001,"El Alamillo, Sevilla",España,3,0,M. Vazquez,85,1943,control ,2001-10-24,control
A,AF57499,Acrocephalus scirpaceus,19,8,2002,"Elburg, Gelderland",Holanda,3,0,M. Vega,NA,NA,Anillamiento,2002-08-19,anillamiento
C,AF57499,Acrocephalus scirpaceus,10,8,2003,"Laguna del Gobierno, Lantejuela,Sevilla",España,4,0,Extranjero,356,1885,control ,2003-08-10,control
A,AG13008,Acrocephalus scirpaceus,28,7,2004,"Castricum, Noord Holland",Holanda,3,0,Extranjero,NA,NA,Anillamiento,2004-07-28,anillamiento
C,AG13008,Acrocephalus scirpaceus,24,8,2005,"Caño Navarro, Coria del Rio, Sevilla",España,4,0,M. Vazquez,392,1888,control ,2005-08-24,control
A,AE40211,Acrocephalus scirpaceus,10,8,1999,"Vrhinika, Ljubljansko Barje, Slovenia",Eslovenia,3,0,Extranjero,NA,NA,Anillamiento,1999-08-10,anillamiento
C,AE40211,Acrocephalus scirpaceus,24,8,2003,"Laguna del Gobierno, Lantejuela,Sevilla",España,4,0,M. Vega,1475,1875,control ,2003-08-24,control
A,2524255,Acrocephalus arundinaceus,29,8,1993,"Rio Blanco, Ecija, Sevilla",España,3,2,E. Gomez,NA,NA,Anillamiento,1993-08-29,anillamiento
C,2524255,Acrocephalus arundinaceus,24,4,1997,Ghadira,Malta,4,0,Extranjero,1334,1734,control ,1997-04-24,control
A,TA84159,Sylvia borin,30,8,2003,"Sudislavice, Praha",Republica Checa,4,0,Extranjero,NA,NA,Anillamiento,2003-08-30,anillamiento
C,TA84159,Sylvia borin,28,4,2004,"El Alamillo, Sevilla",España,4,0,M. Vazquez,242,2156,control ,2004-04-28,control
A,B902778,Sylvia borin,20,8,1994,"Lelystad, Houtrib Sluizen, Ijsselmeerpolders",Holanda,3,0,Extranjero,NA,NA,Anillamiento,1994-08-20,anillamiento
C,B902778,Sylvia borin,15,4,1997,"Dos Hermanas, Sevilla",España,2,0,M. Vazquez,969,1912,control ,1997-04-15,control
A,F127254,Sylvia atricapilla,2,10,1988,"Roerdomp, Noord Brabant",Holanda,4,2,Extranjero,NA,NA,Anillamiento,1988-10-02,anillamiento
C,F127254,Sylvia atricapilla,16,11,1988,"Coria del Rio, Sevilla",España,2,0,M. Vazquez,46,1800,Cazado con percha,1988-11-16,muerto
A,29V98698,Sylvia atricapilla,30,9,1988,"Clabecq, Brabant",Belgica,4,1,Extranjero,NA,NA,Anillamiento,1988-09-30,anillamiento
C,29V98698,Sylvia atricapilla,29,11,1988,"Sevilla, Sevilla",España,2,0,M. Vazquez,59,1682,Muerta por un gato,1988-11-29,muerto
A,3764737,Sylvia atricapilla,11,9,1990,"Grembergen, Oost Vlaanderen, Flandes Oriental",Belgica,3,1,Extranjero,NA,NA,Anillamiento,1990-09-11,anillamiento
C,3764738,Sylvia atricapilla,23,10,1993,"Castellar de la Frontera, Cadiz",España,2,0,M. Vazquez,1138,1803,Cazada,1993-10-23,muerto
A,7V4057,Sylvia atricapilla,17,7,1970,"Brasschaat, Antwerpen, Amberes",Belgica,4,1,Extranjero,NA,NA,Anillamiento,1970-07-17,anillamiento
C,7V4057,Sylvia atricapilla,15,1,2000,"Marchena, Sevilla",España,A,0,Zamalla,10774,1733,Encontrada solo anilla con detector de metales,2000-01-15,muerto
A,3427860,Sylvia atricapilla,30,7,1990,"Pirincen, Limburg",Belgica,3,0,Extranjero,NA,NA,Anillamiento,1990-07-30,anillamiento
C,3427860,Sylvia atricapilla,11,11,1990,"Cantera del Duende, El Rubio, Sevilla",España,3,0,M. Vazquez,104,1702,control ,1990-11-11,control
A,4483981,Sylvia atricapilla,2,9,1992,"Boitsfort, Brabant",Belgica,3,2,Extranjero,NA,NA,Anillamiento,1992-09-02,anillamiento
C,4483981,Sylvia atricapilla,27,12,1992,"Arroyo Gascon, Marchena, Sevilla",España,3,2,M. Vazquez,116,1685,control ,1992-12-27,control
A,4667722,Sylvia atricapilla,22,10,1992,"Zwin, West Vlaanderen, Flandes Occidental",Belgica,3,1,Extranjero,NA,NA,Anillamiento,1992-10-22,anillamiento
C,4667722,Sylvia atricapilla,29,11,1992,"Arroyo Gascon, Marchena, Sevilla",España,3,1,M. Vazquez,38,1705,control ,1992-11-29,control
A,5875357,Sylvia atricapilla,16,9,1996,"Meetkeerke, West Vlaanderen, Flandes Occidental",Belgica,3,1,Extranjero,NA,NA,Anillamiento,1996-09-16,anillamiento
C,5875357,Sylvia atricapilla,21,2,1999,"Arroyo Gascon, Marchena, Sevilla",España,4,1,M. Vazquez,843,1821,control ,1999-02-21,control
A,5954776,Sylvia atricapilla,10,10,1996,"Rijkevorsel, Antwerpen, Amberes",Belgica,3,1,Extranjero,NA,NA,Anillamiento,1996-10-10,anillamiento
C,5954776,Sylvia atricapilla,1,1,1999,"El Cuervo, Lebrija, Sevilla",España,4,0,M. Vazquez,843,1821,Cazada,1999-01-01,muerto
A,6115344,Sylvia atricapilla,15,9,1996,"Grembergen, Oost Vlaanderen, Flandes Oriental",Belgica,3,1,Extranjero,NA,NA,Anillamiento,1996-09-15,anillamiento
C,6115344,Sylvia atricapilla,1,1,1999,"El Cuervo, Lebrija, Sevilla",España,4,0,M. Vazquez,838,1768,Cazada,1999-01-01,muerto
A,6253862,Sylvia atricapilla,20,9,1997,"Pontaury, Namen, Namur",Belgica,2,2,Extranjero,NA,NA,Anillamiento,1997-09-20,anillamiento
C,6253862,Sylvia atricapilla,1,1,1999,"El Cuervo, Lebrija, Sevilla",España,4,0,M. Vazquez,468,1722,Cazada,1999-01-01,muerto
A,6506119,Sylvia atricapilla,25,9,1997,"Messelbroek, Brabant",Belgica,3,1,Extranjero,NA,NA,Anillamiento,1997-09-25,anillamiento
C,6506119,Sylvia atricapilla,16,11,1997,"Cantera del Duende, El Rubio, Sevilla",España,3,1,M. Vazquez,52,1707,control ,1997-11-16,control
A,6924546,Sylvia atricapilla,9,9,1999,"Hertsberge, West Vlaanderen, Flandes Occidental",Belgica,3,2,Extranjero,NA,NA,Anillamiento,1999-09-09,anillamiento
C,6924546,Sylvia atricapilla,1,11,1999,"El Alamillo, Sevilla",España,3,2,M. Vazquez,53,1688,control ,1999-11-01,control
A,7013900,Sylvia atricapilla,4,9,1999,"ST Laurenis, Oost Vlaanderen, Flandes",Belgica,3,2,Extranjero,NA,NA,Anillamiento,1999-09-04,anillamiento
C,7013900,Sylvia atricapilla,4,1,2000,"Laguna de Medina, Jerez de la Frontera, Cadiz",España,5,2,Zamalla,122,1789,control ,2000-01-04,control
A,7124164,Sylvia atricapilla,20,9,2000,"Cerexhe, Heuseux, Luik Lieja",Belgica,3,1,Extranjero,NA,NA,Anillamiento,2000-09-20,anillamiento
C,7124164,Sylvia atricapilla,12,11,2000,"El Alamillo, Sevilla",España,3,1,M. Vazquez,53,1739,control ,2000-11-12,control
A,8650459,Sylvia atricapilla,9,9,2003,"Grembergen, Oost Vlaanderen, Flandes Oriental",Belgica,3,2,Extranjero,NA,NA,Anillamiento,2003-09-09,anillamiento
C,8650459,Sylvia atricapilla,18,12,2004,"Arroyo Gascon, Marchena, Sevilla",España,4,2,M. Vazquez,466,1688,control ,2004-12-18,control
A,L044195,Sylvia atricapilla,4,10,1996,"Torrecuadros, Hinojos, Huelva",España,3,1,M. Vazquez,NA,NA,Anillamiento,1996-10-04,anillamiento
C,L044195,Sylvia atricapilla,3,5,1997,"Aschaffenburg, Unterfranken",Alemania,2,0,Extranjero,211,1876,Encontrado muerto,1997-05-03,muerto
A,L450270,Sylvia atricapilla,9,11,2000,"El Alamillo, Sevilla",España,3,2,M. Vazquez,NA,NA,Anillamiento,2000-11-09,anillamiento
