Anilla,NombreComun,NombreEspecie,Familia,Orden,Grupo,E,S,G,Ala,Peso,Dia,Mes,Año,Hora.C,Hora.F,Lugar,Municipio,Provincia,Anillador,Observaciones,FECHA,Observaciones simple
191662,Barn Swallow,Hirundo rustica,Hirundinidae (Swallows),Passeriformes,Martins and Swallows,4,2,,,,16,4,1988,,,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,Muerta en nido,1988-04-16,control
191664,Barn Swallow,Hirundo rustica,Hirundinidae (Swallows),Passeriformes,Martins and Swallows,4,2,3.0,,,6,3,1988,17.0,18.0,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,,1988-03-06,control
191664,Barn Swallow,Hirundo rustica,Hirundinidae (Swallows),Passeriformes,Martins and Swallows,4,2,3.0,,,2,4,1988,18.0,19.0,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,,1988-04-02,control
191648,Barn Swallow,Hirundo rustica,Hirundinidae (Swallows),Passeriformes,Martins and Swallows,4,0,3.0,,,5,3,1988,17.0,18.0,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,,1988-03-05,control
191648,Barn Swallow,Hirundo rustica,Hirundinidae (Swallows),Passeriformes,Martins and Swallows,4,0,3.0,,,6,3,1988,17.0,18.0,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,,1988-03-06,control
191648,Barn Swallow,Hirundo rustica,Hirundinidae (Swallows),Passeriformes,Martins and Swallows,4,0,4.0,,,26,3,1988,17.0,18.0,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,,1988-03-26,control
191665,Barn Swallow,Hirundo rustica,Hirundinidae (Swallows),Passeriformes,Martins and Swallows,4,0,3.0,,,6,3,1988,17.0,18.0,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,,1988-03-06,control
191665,Barn Swallow,Hirundo rustica,Hirundinidae (Swallows),Passeriformes,Martins and Swallows,4,0,3.0,,,2,4,1988,18.0,19.0,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,,1988-04-02,control
191666,Barn Swallow,Hirundo rustica,Hirundinidae (Swallows),Passeriformes,Martins and Swallows,4,0,3.0,,,6,3,1988,17.0,18.0,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,,1988-03-06,control
191679,Barn Swallow,Hirundo rustica,Hirundinidae (Swallows),Passeriformes,Martins and Swallows,4,2,3.0,,,19,3,1988,15.0,16.0,Casa Neves,Aznalcazar,Sevilla,Manuel Vazquez,,1988-03-19,control
