MODO,METAL,ESPECIE,DIA,MES,AÑO,LOCALIDAD,PAIS,EDAD,SEXO,ANILLADOR,Dias,Kms,Observaciones,FECHA CONTROL 1,Observaciones simple,FECHA CONTROL 2,LOCALIDAD CONTROL 2,PAIS CONTROL 2,LONGITUDE CONTROL 1,LATITUDE CONTROL 1,LONGITUDE CONTROL 2,LATITUDE CONTROL 2,EDAD CONTROL 2,SEXO CONTROL 2,ANILLADOR CONTROL 2,Dias anotados,Kms anotados,Observaciones control 2,Observaciones simple control 2
A,7490,Anser anser,19,6,1985,"Utterslev Mose,  Seeland, Mon Saltholm",Dinamarca,3,1,Extranjero,1607,2479.5914332743446,Anillamiento,1985-06-19,anillamiento,1989-11-12,"Cantaritas, Puebla del Rio, Sevilla",España,12.496046400000001,55.7144671,-6.063133,37.2694065,A,0,M. Vazquez,1603,2484,Cazado con escopeta,muerto
A,7614,Anser anser,16,6,1983,"Utterslev Mose, Cophenage Seeland, Mon Saltholm",Dinamarca,1,1,Extranjero,2374,2480.2845492244564,Anillamiento,1983-06-16,anillamiento,1989-12-15,"Puebla del Rio, Sevilla",España,12.5067223,55.7174179,-6.063133,37.2694065,A,0,M. Vazquez,2369,2510,Cazado con escopeta fecha carta,muerto
A,9396,Anser anser,24,6,1988,"Utterslev Mose,  Seeland, Mon Saltholm",Dinamarca,2,0,Extranjero,174,2461.8012669730697,Anillamiento,1988-06-24,anillamiento,1988-12-15,"Isla Mayor, Sevilla",España,12.496046400000001,55.7144671,-5.9127402,37.3868107,2,0,M. Vazquez,161,2495,Cazado con escopeta,muerto
A,9608,Anser anser,13,6,1989,"Utterslev Mose,  Seeland, Mon Saltholm",Dinamarca,1,1,Extranjero,185,2479.4622178793106,Anillamiento,1989-06-13,anillamiento,1989-12-15,"Los Morenos, Puebla del Rio, Sevilla",España,12.496046400000001,55.7144671,-6.0615636,37.2700535,3,1,M. Vazquez,182,2479,Cazado con escopeta,muerto
A,BA01439,Anser anser,14,6,1981,"Rez Slonsk , Gorzow Wielkopolski",Polonia,2,0,Extranjero,3099,2385.022327066676,Anillamiento,1981-06-14,anillamiento,1989-12-08,"Cantaritas, Puebla del Rio, Sevilla",España,15.2369305,52.7325285,-6.063133,37.2694065,A,0,M. Vazquez,3094,2352,Cazado con escopeta,muerto
A,BA01699,Anser anser,20,6,1982,"Rez Slonsk , Gorzow Wielkopolski",Polonia,1,0,Extranjero,2735,2385.022327066676,Anillamiento,1982-06-20,anillamiento,1989-12-15,"Puebla del Rio, Sevilla",España,15.2369305,52.7325285,-6.063133,37.2694065,A,0,M. Vazquez,2730,2365,Cazado con escopeta fecha carta,muerto
A,BA01014,Anser anser,15,6,1979,"Rez Slonsk , Gorzow Wielkopolski",Polonia,5,1,Extranjero,236,2391.9053995057443,Anillamiento,1979-06-15,anillamiento,1980-02-06,"Aznalcazar, Sevilla",España,15.2369305,52.7325285,-6.2495424999999996,37.3047112,7,0,M. Vazquez,NA,2365,Cazado con escopeta,muerto
A,9226992,Anser anser,29,6,1986,"Sverigen, M Skame, Malmohus",Suecia,6,1,Extranjero,565,2491.5105938409815,Anillamiento,1986-06-29,anillamiento,1988-01-15,"Puebla del Rio, Sevilla",España,12.9876118,55.6047994,-6.063133,37.2694065,A,0,M. Vazquez,566,2498,Cazado con escopeta,muerto
A,9232310,Anser anser,12,6,1988,"Borringesjon, Malmohus",Suecia,3,1,Extranjero,156,2495.1003525944084,Anillamiento,1988-06-12,anillamiento,1988-11-15,"Cantaritas, Puebla del Rio, Sevilla",España,13.3099815,55.47589259999999,-6.063133,37.2694065,3,0,M. Vazquez,153,2501,Cazado con escopeta,muerto
A,9232322,Anser anser,12,6,1988,"Borringesjon, Malmohus",Suecia,3,2,Extranjero,156,2495.1003525944084,Anillamiento,1988-06-12,anillamiento,1988-11-15,"Cantaritas, Puebla del Rio, Sevilla",España,13.3099815,55.47589259999999,-6.063133,37.2694065,3,0,M. Vazquez,153,2501,Cazado con escopeta,muerto
