Anilla,NombreEspecie,E,S,G,Ala,Peso,Tarso,Dia,Mes,Año,Hora.C,Hora.F,Ancho.tarso,Cola,Pico,Lugar,Municipio,Provincia,Anillador,Observaciones,FECHA,Observaciones simple
3037114,Cyanopica cyana,4,0,0,NA,77.5,NA,7,4,1991,NA,NA,NA,NA,NA,El Acebuche,Almonte,Huelva,Manuel Vazquez,,1991-04-07,control
176655,Cettia cetti,4,2,0,NA,NA,NA,21,6,1987,NA,NA,NA,NA,NA,Huerta Daniel,Puebla del Rio,Sevilla,Manuel Vazquez,,1987-06-21,control
176664,Cettia cetti,3,0,0,NA,NA,NA,5,7,1987,NA,NA,NA,NA,NA,Huerta Daniel,Puebla del Rio,Sevilla,Manuel Vazquez,,1987-07-05,control
191389,Cettia cetti,4,2,1,NA,NA,NA,11,3,1988,NA,NA,NA,NA,NA,Cerrado Chico,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-03-11,control
191400,Cettia cetti,4,1,2,NA,NA,NA,11,3,1988,NA,NA,NA,NA,NA,Cerrado Chico,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-03-11,control
230331,Cettia cetti,3,2,3,57,10.5,NA,14,12,1988,NA,NA,NA,NA,NA,Lucio Poco Abrigo,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-12-14,control
231629,Cettia cetti,3,2,4,57,11,NA,17,11,1988,NA,NA,NA,NA,NA,Lucio Poco Abrigo,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-11-17,control
231630,Cettia cetti,2,2,4,55.5,NA,NA,29,12,1988,NA,NA,NA,NA,NA,Lucio Poco Abrigo,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-12-29,control
231698,Cettia cetti,4,1,1,NA,NA,NA,20,4,1988,NA,NA,NA,NA,NA,Cerrado Chico,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-04-20,control
231665,Cettia cetti,4,2,3,NA,NA,NA,11,3,1988,NA,NA,NA,NA,NA,Cerrado Chico,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-03-11,control
309697,Cettia cetti,4,1,3,63,13,NA,3,11,1990,NA,NA,NA,NA,NA,Cerrado Chico,Puebla del Rio,Sevilla,Manuel Vazquez,,1990-11-03,control
268253,Cisticola juncidis,3,0,4,47,9,NA,12,11,1988,NA,NA,NA,NA,NA,Huerta Daniel,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-11-12,control
268255,Cisticola juncidis,3,0,4,46,7.5,NA,12,11,1988,NA,NA,NA,NA,NA,Huerta Daniel,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-11-12,control
268287,Cisticola juncidis,3,0,4,48,8,NA,12,11,1988,NA,NA,NA,NA,NA,Huerta Daniel,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-11-12,control
271225,Cisticola juncidis,3,0,4,50,8.5,NA,12,11,1988,NA,NA,NA,NA,NA,Huerta Daniel,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-11-12,control
271403,Cisticola juncidis,3,0,5,52,9.5,NA,12,11,1988,NA,NA,NA,NA,NA,Huerta Daniel,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-11-12,control
271414,Cisticola juncidis,3,0,4,50,8,NA,12,11,1988,NA,NA,NA,NA,NA,Huerta Daniel,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-11-12,control
271428,Cisticola juncidis,3,0,3,52,805,NA,12,11,1988,NA,NA,NA,NA,NA,Huerta Daniel,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-11-12,control
271430,Cisticola juncidis,3,0,4,48,8,NA,12,11,1988,NA,NA,NA,NA,NA,Huerta Daniel,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-11-12,control
2223884,Lanius senator,4,2,NA,NA,NA,NA,20,7,1989,NA,NA,NA,NA,NA,Valcaliente,Constantina,Sevilla,Manuel Vazquez,Ahogado en alberca,1989-07-20,control
191453,Acrocephalus scirpaceus,4,0,0,65.5,11,NA,14,5,1988,7,9,NA,NA,NA,Cerrado Chico,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-05-14,control
309767,Acrocephalus scirpaceus,4,0,1,61,NA,NA,15,8,1990,8,9,NA,NA,NA,Lucio Poco Abrigo,Puebla del Rio,Sevilla,Manuel Vazquez,,1990-08-15,control
309906,Acrocephalus scirpaceus,2,0,1,NA,NA,NA,22,7,1990,8,9,NA,NA,NA,Lucio Poco Abrigo,Puebla del Rio,Sevilla,Manuel Vazquez,,1990-07-22,control
