MODO,METAL,NOMBRE_COMUN,ESPECIE,FAMILIA,ORDEN,GRUPO,DIA,MES,AÑO,LUGAR,MUNICIPIO,PROVINCIA,EDAD,SEXO,ANILLADOR,Dias,Kms,Observaciones,FECHA CONTROL 1,Observaciones simple,FECHA CONTROL 2,LUGAR CONTROL 2,MUNICIPIO CONTROL 2,PROVINCIA CONTROL 2,LONGITUDE CONTROL 1,LATITUDE CONTROL 1,LONGITUDE CONTROL 2,LATITUDE CONTROL 2,EDAD CONTROL 2,SEXO CONTROL 2,ANILLADOR CONTROL 2,Dias anotados,Kms anotados,Observaciones control 2,Observaciones simple control 2
A,DE08298,Little Egret,Egretta garzetta,"Ardeidae (Herons, Egrets, and Bitterns)",Pelecaniformes,"Herons, Ibis, and Allies",22,7,1971,La Rocina PND,El Rocio,Huelva,1.0,0.0,EBD,6707,407.4810089617044,Anillamiento,1971-07-22,anillamiento,1989-12-01,Puebla del Rio,Puebla del Rio,Sevilla,-6.063133,37.2694065,-3.74922,40.46366700000001,A,0,M.Vazquez,,,Cazada escopeta solo anilla,muerto
A,5080412,Eurasian Kestrel,Falco tinnunculus,Falconidae (Falcons and Caracaras),Falconiformes,Falcons and Caracaras,6,2,2004,La Fao PND,Aznalcazar,Sevilla,5.0,1.0,JL del Valle,1082,412.3208271094924,Anillamiento,2004-02-06,anillamiento,2007-01-23,Caracoles,Aznalcazar,Sevilla,-6.2495425,37.3047112,-3.74922,40.46366700000001,6,2,M.Vazquez,1082.0,2.0,control,control
A,5080459,Eurasian Kestrel,Falco tinnunculus,Falconidae (Falcons and Caracaras),Falconiformes,Falcons and Caracaras,20,12,2004,La Fao PND,Aznalcazar,Sevilla,5.0,1.0,JL del Valle,764,412.3208271094924,Anillamiento,2004-12-20,anillamiento,2007-01-23,Caracoles,Aznalcazar,Sevilla,-6.2495425,37.3047112,-3.74922,40.46366700000001,6,1,M.Vazquez,764.0,2.0,control,control
A,1006016,American Flamingo,Phoenicopterus ruber,Phoenicopteridae (Flamingos),Phoenicopteriformes,Flamingos,15,8,1998,Laguna de Fuente de Piedra,Funtedepiedra,Malaga,1.0,0.0,EBD,1583,480.83238776035546,Anillamiento,1998-08-15,anillamiento,2002-12-15,El Puerto de Santa Maria,El Puerto de Santa Maria,Cadiz,-6.2327108,36.5956925,-3.74922,40.46366700000001,A,0,EBD,1583.0,142.0,Colision con tendido electrico,muerto
A,9001910,American Flamingo,Phoenicopterus ruber,Phoenicopteridae (Flamingos),Phoenicopteriformes,Flamingos,17,6,1987,Laguna de Fuente de Piedra,Fuente de Piedra,Malaga,1.0,0.0,EBD,28,379.31840386480457,Anillamiento,1987-06-17,anillamiento,1987-07-15,Las Nuevas PND,Doñana,Huelva,-4.7309865,37.1341608,-3.74922,40.46366700000001,3,0,Particular,,,Cazada escopeta,muerto
A,9002447,American Flamingo,Phoenicopterus ruber,Phoenicopteridae (Flamingos),Phoenicopteriformes,Flamingos,17,6,1987,Laguna de Fuente de Piedra,Funtedepiedra,Malaga,1.0,0.0,EBD,4916,468.2448607232554,Anillamiento,1987-06-17,anillamiento,2000-12-01,Bonanza,Sanlucar de Barrameda,Cadiz,-6.3529689,36.7725774,-3.74922,40.46366700000001,A,0,M.Vazquez,4916.0,147.0,Cazada escopeta,muerto
A,9002767,American Flamingo,Phoenicopterus ruber,Phoenicopteridae (Flamingos),Phoenicopteriformes,Flamingos,25,6,1986,Laguna de Fuente de Piedra,Fuente de Piedra,Malaga,1.0,0.0,EBD,1269,379.31840386480457,Anillamiento,1986-06-25,anillamiento,1989-12-15,Isla Mayor,Isla Mayor,Sevilla,-4.7309865,37.1341608,-3.74922,40.46366700000001,9,0,M. Vazquez,,,Cazada escopeta,muerto
A,9006385,American Flamingo,Phoenicopterus ruber,Phoenicopteridae (Flamingos),Phoenicopteriformes,Flamingos,21,8,1988,Laguna de Fuente de Piedra,Fuente de Piedra,Malaga,1.0,0.0,EBD,86,407.4810089617044,Anillamiento,1988-08-21,anillamiento,1988-11-15,Puebla del Rio,Puebla del Rio,Sevilla,-6.063133,37.2694065,-3.74922,40.46366700000001,3,0,M. Vazquez,84.0,118.0,Encontrado muerto,muerto
A,9006672,American Flamingo,Phoenicopterus ruber,Phoenicopteridae (Flamingos),Phoenicopteriformes,Flamingos,23,8,1988,Laguna de Fuente de Piedra,Funtedepiedra,Malaga,1.0,0.0,EBD,920,485.32721965074586,Anillamiento,1988-08-23,anillamiento,1991-03-01,Puerto Real,Puerto Real,Cadiz,-6.1831947,36.5316485,-3.74922,40.46366700000001,9,0,M.Vazquez,,142.0,Encontrado muerto,muerto
A,9006894,American Flamingo,Phoenicopterus ruber,Phoenicopteridae (Flamingos),Phoenicopteriformes,Flamingos,23,8,1988,Laguna de Fuente de Piedra,Fuente de Piedra,Malaga,1.0,0.0,EBD,164,407.4810089617044,Anillamiento,1988-08-23,anillamiento,1989-02-03,Casudi,Puebla del Rio,Sevilla,-6.063133,37.2694065,-3.74922,40.46366700000001,3,0,M. Vazquez,,,Cazada escopeta,muerto
A,9007111,American Flamingo,Phoenicopterus ruber,Phoenicopteridae (Flamingos),Phoenicopteriformes,Flamingos,21,8,1988,Laguna de Fuente de Piedra,Fuente de Piedra,Malaga,1.0,0.0,EBD,37,379.31840386480457,Anillamiento,1988-08-21,anillamiento,1988-09-27,Dos Hermanas,Dos Hermanas,Sevilla,-4.7309865,37.1341608,-3.74922,40.46366700000001,3,0,M. Vazquez,,,Cazada escopeta,muerto
A,9010216,American Flamingo,Phoenicopterus ruber,Phoenicopteridae (Flamingos),Phoenicopteriformes,Flamingos,18,8,1990,Laguna de Fuente de Piedra,Fuente de Piedra,Malaga,1.0,0.0,EBD,150,407.4810089617044,Anillamiento,1990-08-18,anillamiento,1991-01-15,Puebla del Rio,Puebla del Rio,Sevilla,-6.063133,37.2694065,-3.74922,40.46366700000001,3,0,M. Vazquez,,,Encontrado muerto,muerto
A,9011751,American Flamingo,Phoenicopterus ruber,Phoenicopteridae (Flamingos),Phoenicopteriformes,Flamingos,20,7,1991,Laguna de Fuente de Piedra,Fuente de Piedra,Malaga,1.0,0.0,EBD,15,407.4810089617044,Anillamiento,1991-07-20,anillamiento,1991-08-04,Cañada de los Pajaros,Puebla del Rio,Sevilla,-6.063133,37.2694065,-3.74922,40.46366700000001,3,0,M. Vazquez,,,Encontrado muerto,muerto
