MODO,METAL,NOMBRE_COMUN,ESPECIE,FAMILIA,ORDEN,GRUPO,DIA,MES,AÑO,LOCALIDAD,PAIS,EDAD,SEXO,ANILLADOR,Dias,Kms,Observaciones,FECHA CONTROL 1,Observaciones simple,FECHA CONTROL 2,LOCALIDAD CONTROL 2,PAIS CONTROL 2,LONGITUDE CONTROL 1,LATITUDE CONTROL 1,LONGITUDE CONTROL 2,LATITUDE CONTROL 2,EDAD CONTROL 2,SEXO CONTROL 2,ANILLADOR CONTROL 2,Dias anotados,Kms anotados,Observaciones control 2,Observaciones simple control 2
A,9396,Graylag Goose,Anser anser,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,Waterfowl,24,6,1988,"Utterslev Mose,  Seeland, Mon Saltholm",Dinamarca,2,0,Extranjero,174,2461.8012669730697,Anillamiento,1988-06-24,anillamiento,1988-12-15,"Isla Mayor, Sevilla",España,12.4960464,55.7144671,-5.9127402,37.3868107,2,0,M. Vazquez,161.0,2495.0,Cazado con escopeta,muerto
A,9608,Graylag Goose,Anser anser,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,Waterfowl,13,6,1989,"Utterslev Mose,  Seeland, Mon Saltholm",Dinamarca,1,1,Extranjero,185,2479.46221787931,Anillamiento,1989-06-13,anillamiento,1989-12-15,"Los Morenos, Puebla del Rio, Sevilla",España,12.4960464,55.7144671,-6.0615636,37.2700535,3,1,M. Vazquez,182.0,2479.0,Cazado con escopeta,muerto
A,BA01439,Graylag Goose,Anser anser,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,Waterfowl,14,6,1981,"Rez Slonsk , Gorzow Wielkopolski",Polonia,2,0,Extranjero,3099,2385.022327066676,Anillamiento,1981-06-14,anillamiento,1989-12-08,"Cantaritas, Puebla del Rio, Sevilla",España,15.2369305,52.7325285,-6.063133,37.2694065,A,0,M. Vazquez,3094.0,2352.0,Cazado con escopeta,muerto
A,BA01699,Graylag Goose,Anser anser,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,Waterfowl,20,6,1982,"Rez Slonsk , Gorzow Wielkopolski",Polonia,1,0,Extranjero,2735,2385.022327066676,Anillamiento,1982-06-20,anillamiento,1989-12-15,"Puebla del Rio, Sevilla",España,15.2369305,52.7325285,-6.063133,37.2694065,A,0,M. Vazquez,2730.0,2365.0,Cazado con escopeta fecha carta,muerto
A,BA01014,Graylag Goose,Anser anser,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,Waterfowl,15,6,1979,"Rez Slonsk , Gorzow Wielkopolski",Polonia,5,1,Extranjero,236,2391.9053995057443,Anillamiento,1979-06-15,anillamiento,1980-02-06,"Aznalcazar, Sevilla",España,15.2369305,52.7325285,-6.2495425,37.3047112,7,0,M. Vazquez,,2365.0,Cazado con escopeta,muerto
A,9226992,Graylag Goose,Anser anser,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,Waterfowl,29,6,1986,"Sverigen, M Skame, Malmohus",Suecia,6,1,Extranjero,565,2491.510593840981,Anillamiento,1986-06-29,anillamiento,1988-01-15,"Puebla del Rio, Sevilla",España,12.9876118,55.6047994,-6.063133,37.2694065,A,0,M. Vazquez,566.0,2498.0,Cazado con escopeta,muerto
A,9232310,Graylag Goose,Anser anser,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,Waterfowl,12,6,1988,"Borringesjon, Malmohus",Suecia,3,1,Extranjero,156,2495.1003525944084,Anillamiento,1988-06-12,anillamiento,1988-11-15,"Cantaritas, Puebla del Rio, Sevilla",España,13.3099815,55.47589259999999,-6.063133,37.2694065,3,0,M. Vazquez,153.0,2501.0,Cazado con escopeta,muerto
A,9232322,Graylag Goose,Anser anser,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,Waterfowl,12,6,1988,"Borringesjon, Malmohus",Suecia,3,2,Extranjero,156,2495.1003525944084,Anillamiento,1988-06-12,anillamiento,1988-11-15,"Cantaritas, Puebla del Rio, Sevilla",España,13.3099815,55.47589259999999,-6.063133,37.2694065,3,0,M. Vazquez,153.0,2501.0,Cazado con escopeta,muerto
A,9233072,Graylag Goose,Anser anser,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,Waterfowl,18,6,1989,"Sverigen, M Skame, Malmohus",Suecia,3,0,Extranjero,182,2552.245569090609,Anillamiento,1989-06-18,anillamiento,1989-12-17,"Sanlucar de Barrameda, Cadiz",España,12.9876118,55.6047994,-6.3529689,36.7725774,3,0,M. Vazquez,,,Cazado con escopeta,muerto
A,9803229,Graylag Goose,Anser anser,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,Waterfowl,19,6,1970,"Sverigen, Gotland Rone, Ytterholme",Suecia,3,0,Extranjero,3863,2860.848779038353,Anillamiento,1970-06-19,anillamiento,1981-01-15,"Aznalcazar, Sevilla",España,18.5050294,57.1283295,-6.2495425,37.3047112,A,0,M. Vazquez,,,Cazado con escopeta,muerto
A,9804702,Graylag Goose,Anser anser,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,Waterfowl,17,7,1983,"Sverigen, D´Soder, Mohlland",Suecia,2,0,Extranjero,1278,3120.2582884330927,Anillamiento,1983-07-17,anillamiento,1987-01-15,"Marisma de Hinojos, Hinojos, Huelva",España,18.643501,60.12816100000001,-6.4166667,37.0666667,A,0,M. Vazquez,,,Cazado con escopeta,muerto
A,XEA,Graylag Goose,Anser anser,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,Waterfowl,4,6,1989,"Borringesjon, Malmohus",Suecia,1,0,Extranjero,194,2555.7914708025064,Anillamiento,1989-06-04,anillamiento,1989-12-15,"Sanlucar de Barrameda, Cadiz",España,13.3099815,55.47589259999999,-6.3529689,36.7725774,3,0,M. Vazquez,,,Cazado con escopeta,muerto
A,CA38659,Gray Heron,Ardea cinerea,"Ardeidae (Herons, Egrets, and Bitterns)",Pelecaniformes,"Herons, Ibis, and Allies",6,5,1978,"Lac de Grand Lieu, Loire Atlantique",España,3,0,MMP et L Marion,1002,1165.7672772534288,Anillamiento,1978-05-06,anillamiento,1981-02-01,"Lucio del cangrejo, Aznalcazar, Sevilla",Francia,-1.8157647,47.27804680000001,-6.2412518,37.3058343,A,0,M. Vazquez,,,Cazado con escopeta,muerto
A,B26502,Gray Heron,Ardea cinerea,"Ardeidae (Herons, Egrets, and Bitterns)",Pelecaniformes,"Herons, Ibis, and Allies",14,5,1988,"Branna, Jjndrichov Hradec, Ceske Budejovice",Checoslovaquia,1,0,M. Vazquez,124,2358.8227941733667,Anillamiento,1988-05-14,anillamiento,1988-09-15,"Lebrija, Sevilla",España,17.0118544,50.15326020000001,-6.0758624,36.9197889,3,0,Extranjero,121.0,2157.0,Colision con tendido electrico,muerto
A,231722,Gray Heron,Ardea cinerea,"Ardeidae (Herons, Egrets, and Bitterns)",Pelecaniformes,"Herons, Ibis, and Allies",22,5,1988,"Koerkwitz, Ribnitz, Damgarten Rostock",Alemania,1,0,M. Vazquez,131,2361.26852027872,Anillamiento,1988-05-22,anillamiento,1988-09-30,"Caño del Cherri, Aznalcar, Sevilla",España,12.3859116,54.2540176,-6.2495425,37.3047112,3,0,Extranjero,,,Anillamiento,anillamiento
A,M10463,Cattle Egret,Bubulcus ibis,"Ardeidae (Herons, Egrets, and Bitterns)",Pelecaniformes,"Herons, Ibis, and Allies",25,5,1993,"Castro Marin, Algarve",Portugal,1,0,Extranjero,97,123.4696742388806,Anillamiento,1993-05-25,anillamiento,1993-08-30,"Coria del Rio, Sevilla",España,-7.4423339,37.2179422,-6.0533598,37.2882628,3,0,M. Vazquez,95.0,122.0,Cazado con escopeta,muerto
